Sat,"Oct 25, 1975",1:00,,St Louis Cardinals,W 20-13,W -5,@,New York Giants,,
Sun,"Oct 26, 1975",1:00,,Cincinnati Bengals,W 21-14,P -7,@,Atlanta Falcons,,
Sun,"Oct 26, 1975",1:00,,Washington Redskins,W 23-7,W -10,@,Cleveland Browns,,
Sun,"Oct 26, 1975",1:00,@,New England Patriots,W 24-16,W -2,,San Francisco 49ers,,
Sun,"Oct 26, 1975",1:00,@,New York Jets,L 28-45,L -7,,Baltimore Colts,,
Sun,"Oct 26, 1975",1:00,,Dallas Cowboys,W 20-17,L -4.5,@,Philadelphia Eagles,,
Sun,"Oct 26, 1975",2:00,,Pittsburgh Steelers,W 16-13,L -11.5,@,Green Bay Packers,,at Milwaukee
Sun,"Oct 26, 1975",2:00,@,Houston Oilers,W 24-8,W -7,,Detroit Lions,,
Sun,"Oct 26, 1975",2:00,@,Kansas City Chiefs,W 26-13,W -3,,Denver Broncos,,
Sun,"Oct 26, 1975",4:00,@,Buffalo Bills,L 30-35,L PK,,Miami Dolphins,,
Sun,"Oct 26, 1975",4:00,@,Los Angeles Rams,W 38-14,W -16.5,,New Orleans Saints,,
Sun,"Oct 26, 1975",4:00,@,Oakland Raiders,W 25-0,W -16,,San Diego Chargers,,
Mon,"Oct 27, 1975",9:00,,Minnesota Vikings,W 13-9,L -16,@,Chicago Bears,,
