Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Sun,"Nov 16, 1975",1:00,,Los Angeles Rams,W 16-7,L -13.5,@,Atlanta Falcons,,
Sun,"Nov 16, 1975",1:00,@,Detroit Lions,W 13-10,L -6,,Green Bay Packers,,
Sun,"Nov 16, 1975",1:00,,Dallas Cowboys,W 34-31,L -5,@,New England Patriots,,
Sun,"Nov 16, 1975",1:00,@,New York Giants,L 10-13,L -4,,Philadelphia Eagles,,
Sun,"Nov 16, 1975",1:00,@,Pittsburgh Steelers,W 28-3,W -11.5,,Kansas City Chiefs,,
Sun,"Nov 16, 1975",2:00,@,Baltimore Colts,W 52-19,W -6.5,,New York Jets,,
Sun,"Nov 16, 1975",2:00,,Miami Dolphins,L 19-20,L -4.5,@,Houston Oilers,,
Sun,"Nov 16, 1975",2:00,,Minnesota Vikings,W 20-7,L -16.5,@,New Orleans Saints,,
Sun,"Nov 16, 1975",4:00,@,Oakland Raiders,W 38-17,L -21.5,,Cleveland Browns,,
Sun,"Nov 16, 1975",4:00,,Denver Broncos,W 27-17,W -6.5,@,San Diego Chargers,,
Sun,"Nov 16, 1975",4:00,@,San Francisco 49ers,W 31-3,W -9,,Chicago Bears,,
Sun,"Nov 16, 1975",4:00,@,St Louis Cardinals,W 20-17 (OT),L -4,,Washington Commanders,,
Mon,"Nov 17, 1975",9:00,@,Cincinnati Bengals,W 33-24,W -6,,Buffalo Bills,,
