Sat,"Nov 1, 1975",1:00,@,New York Giants,W 35-24,W -9.5,,San Diego Chargers,,
Sun,"Nov 2, 1975",1:00,,Pittsburgh Steelers,W 30-24,W -1,@,Cincinnati Bengals,,
Sun,"Nov 2, 1975",1:00,,Buffalo Bills,W 24-23,L -7,@,New York Jets,,
Sun,"Nov 2, 1975",2:00,@,Baltimore Colts,W 21-7,W -10,,Cleveland Browns,,
Sun,"Nov 2, 1975",2:00,,Miami Dolphins,W 46-13,W -14.5,@,Chicago Bears,,
Sun,"Nov 2, 1975",2:00,,Minnesota Vikings,W 28-17,W -9,@,Green Bay Packers,,
Sun,"Nov 2, 1975",2:00,,Houston Oilers,W 17-13,W -3.5,@,Kansas City Chiefs,,
Sun,"Nov 2, 1975",2:00,,Atlanta Falcons,L 7-23,L -2.5,@,New Orleans Saints,,
Sun,"Nov 2, 1975",2:00,@,St Louis Cardinals,W 24-17,L -10,,New England Patriots,,
Sun,"Nov 2, 1975",4:00,,Oakland Raiders,W 42-17,W -9.5,@,Denver Broncos,,
Sun,"Nov 2, 1975",4:00,@,San Francisco 49ers,L 17-28,L -8,,Detroit Lions,,
Sun,"Nov 2, 1975",4:00,@,Washington Redskins,W 30-24 (OT),W -4,,Dallas Cowboys,,
Mon,"Nov 3, 1975",9:00,,Los Angeles Rams,W 42-3,W -7.5,@,Philadelphia Eagles,,
