Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Sun,"Sep 21, 1975",1:00,@,Buffalo Bills,W 42-14,W PK,,New York Jets,,
Sun,"Sep 21, 1975",1:00,@,Cincinnati Bengals,W 24-17,L -10,,Cleveland Browns,,
Sun,"Sep 21, 1975",1:00,,Houston Oilers,W 7-0,W -2,@,New England Patriots,,
Sun,"Sep 21, 1975",1:00,@,Philadelphia Eagles,L 14-23,L -2.5,,New York Giants,,
Sun,"Sep 21, 1975",1:00,@,Washington Redskins,W 41-3,W -13,,New Orleans Saints,,
Sun,"Sep 21, 1975",2:00,@,Chicago Bears,L 7-35,L -3,,Baltimore Colts,,
Sun,"Sep 21, 1975",2:00,@,Green Bay Packers,L 16-30,L -3.5,,Detroit Lions,,at Milwaukee
Sun,"Sep 21, 1975",2:00,@,Minnesota Vikings,W 27-17,W -7.5,,San Francisco 49ers,,
Sun,"Sep 21, 1975",2:00,@,St Louis Cardinals,W 23-20,L -10.5,,Atlanta Falcons,,
Sun,"Sep 21, 1975",4:00,,Los Angeles Rams,L 7-18,L -5.5,@,Dallas Cowboys,,
Sun,"Sep 21, 1975",4:00,@,Denver Broncos,W 37-33,L -6.5,,Kansas City Chiefs,,
Sun,"Sep 21, 1975",4:00,,Pittsburgh Steelers,W 37-0,W -11.5,@,San Diego Chargers,,
Mon,"Sep 22, 1975",9:00,,Oakland Raiders,W 31-21,W -4,@,Miami Dolphins,,
