Round,Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Fri,"Nov 8, 1963",,@,Kansas City Chiefs,L 7-22,L -5.5,,Oakland Raiders,,
Sat,"Nov 9, 1963",,@,Buffalo Bills,W 27-17,W -6.5,,Denver Broncos,,
Sun,"Nov 10, 1963",,@,Boston Patriots,L 6-7,L PK,,San Diego Chargers,,
Sun,"Nov 10, 1963",,@,Houston Oilers,W 31-27,L -11.5,,New York Jets,,
