Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Sat,"Dec 7, 1963",,,Green Bay Packers,W 31-14,W -10.5,@,Los Angeles Rams,,
Sun,"Dec 8, 1963",,@,Baltimore Colts,W 41-10,W -7.5,,Minnesota Vikings,,
Sun,"Dec 8, 1963",,@,Chicago Bears,W 27-7,W -17,,San Francisco 49ers,,
Sun,"Dec 8, 1963",,,Pittsburgh Steelers,W 24-19,W -3,@,Dallas Cowboys,,
Sun,"Dec 8, 1963",,,Cleveland Browns,L 10-38,L -3.5,@,Detroit Lions,,
Sun,"Dec 8, 1963",,@,New York Giants,W 44-14,W -15,,Washington Redskins,,
Sun,"Dec 8, 1963",,@,St Louis Cardinals,W 38-14,W -10,,Philadelphia Eagles,,
