Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
NFL Championship,Sun,"Dec 29, 1963",,,New York Giants,L 10-14,L -1,@,Chicago Bears,
AFL Championship,Sun,"Jan 5, 1964",,@,San Diego Chargers,W 51-10,W -6,,Boston Patriots,
