Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Sat,"Sep 21, 1963",,@,Los Angeles Rams,L 14-37,L -3,,Washington Commanders,,
Sun,"Sep 22, 1963",,,Cleveland Browns,W 41-24,W -3,@,Dallas Cowboys,,
Sun,"Sep 22, 1963",,@,Green Bay Packers,W 31-10,W -6.5,,Detroit Lions,,at Milwaukee
Sun,"Sep 22, 1963",,,Chicago Bears,W 28-7,W -4,@,Minnesota Vikings,,
Sun,"Sep 22, 1963",,@,Philadelphia Eagles,L 24-28,L -1.5,,St Louis Cardinals,,
Sun,"Sep 22, 1963",,,New York Giants,L 0-31,L -3.5,@,Pittsburgh Steelers,,
Sun,"Sep 22, 1963",,,Baltimore Colts,W 20-14,W -5.5,@,San Francisco 49ers,,
