Round,Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
AFC Wild Card,Sat,Jan 6 2007,4:35,@,Indianapolis Colts (3),W 23-8,W -6.5,,Kansas City Chiefs (6),U 51
NFC Wild Card,Sat,Jan 6 2007,8:09,@,Seattle Seahawks (4),W 21-20,L -2,,Dallas Cowboys (5),U 48.5
AFC Wild Card,Sun,Jan 7 2007,1:05,@,New England Patriots (4),W 37-16,W -9,,New York Jets (5),O 38.5
NFC Wild Card,Sun,Jan 7 2007,4:39,@,Philadelphia Eagles (3),W 23-20,L -6,,New York Giants (6),U 46.5
AFC Divisional,Sat,Jan 13 2007,4:35,@,Baltimore Ravens (2),L 6-15,L -4,,Indianapolis Colts (3),U 41
NFC Divisional,Sat,Jan 13 2007,8:11,@,New Orleans Saints (2),W 27-24,L -5.5,,Philadelphia Eagles (3),O 48.5
NFC Divisional,Sun,Jan 14 2007,1:06,@,Chicago Bears (1),W 27-24 (OT),L -9.5,,Seattle Seahawks (4),O 37.5
AFC Divisional,Sun,Jan 14 2007,4:40,@,San Diego Chargers (1),L 21-24,L -5,,New England Patriots (4),U 46.5
NFC Championship,Sun,Jan 21 2007,3:06,@,Chicago Bears (1),W 39-14,W -3,,New Orleans Saints (2),O 43
AFC Championship,Sun,Jan 21 2007,6:44,@,Indianapolis Colts (3),W 38-34,W -3,,New England Patriots (4),O 47
Super Bowl XLI,Sun,Feb 4 2007,6:27,N,Indianapolis Colts (3),W 29-17,W -6.5,,Chicago Bears (1),U 47
