Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Sun,"Oct 21, 1973",1:00,@,Cleveland Browns,W 42-13,W -12,,Houston Oilers,,
Sun,"Oct 21, 1973",1:00,@,Detroit Lions,L 27-29,L -14,,Baltimore Colts,,
Sun,"Oct 21, 1973",1:00,@,Miami Dolphins,W 27-6,W -14,,Buffalo Bills,,
Sun,"Oct 21, 1973",1:00,@,Pittsburgh Steelers,W 26-14,L -18.5,,New York Jets,,
Sun,"Oct 21, 1973",1:00,@,Washington Commanders,W 31-13,W -14,,St Louis Cardinals,,
Sun,"Oct 21, 1973",2:00,@,Chicago Bears,L 10-13,L -8.5,,New England Patriots,,
Sun,"Oct 21, 1973",2:00,@,Minnesota Vikings,W 28-21,L -14,,Philadelphia Eagles,,
Sun,"Oct 21, 1973",4:00,@,Cincinnati Bengals,W 14-6,W -2,,Kansas City Chiefs,,
Sun,"Oct 21, 1973",4:00,@,Dallas Cowboys,W 45-28,W -11,,New York Giants,,
Sun,"Oct 21, 1973",4:00,@,Los Angeles Rams,W 24-7,W -7,,Green Bay Packers,,
Sun,"Oct 21, 1973",4:00,,Atlanta Falcons,W 41-0,W -5.5,@,San Diego Chargers,,
Sun,"Oct 21, 1973",4:00,@,San Francisco 49ers,W 40-0,W -14,,New Orleans Saints,,
Mon,"Oct 22, 1973",9:00,,Oakland Raiders,T 23-23,L -6,@,Denver Broncos,,
