Sun,"Sep 23, 1973",1:00,@,Cincinnati Bengals,W 24-10,W -10,,Houston Oilers,,
Sun,"Sep 23, 1973",1:00,,Kansas City Chiefs,W 10-7,L -7,@,New England Patriots,,
Sun,"Sep 23, 1973",1:00,@,New York Giants,T 23-23,L -15,,Philadelphia Eagles,,
Sun,"Sep 23, 1973",1:00,@,Pittsburgh Steelers,W 33-6,W -9,,Cleveland Browns,,
Sun,"Sep 23, 1973",2:00,,New York Jets,W 34-10,W -6,@,Baltimore Colts,,
Sun,"Sep 23, 1973",2:00,,Minnesota Vikings,W 22-13,W -6.5,@,Chicago Bears,,
Sun,"Sep 23, 1973",2:00,@,Green Bay Packers,T 13-13,L -4,,Detroit Lions,,
Sun,"Sep 23, 1973",2:00,,Washington Redskins,L 27-34,L -10.5,@,St Louis Cardinals,,
Sun,"Sep 23, 1973",4:00,,San Francisco 49ers,W 36-34,L -4,@,Denver Broncos,,
Sun,"Sep 23, 1973",4:00,@,Los Angeles Rams,W 31-0,W -3,,Atlanta Falcons,,
Sun,"Sep 23, 1973",4:00,,Miami Dolphins,L 7-12,L -3,@,Oakland Raiders,,at Univ of California
Sun,"Sep 23, 1973",4:00,@,San Diego Chargers,W 34-7,W -1,,Buffalo Bills,,
Mon,"Sep 24, 1973",9:00,@,Dallas Cowboys,W 40-3,W -20,,New Orleans Saints,,
