Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Thu,"Dec 10, 2020",8:20,@,Los Angeles Rams,W 24-3,W -5,,New England Patriots,U 43.5,
Sun,"Dec 13, 2020",1:00,@,Carolina Panthers,L 27-32,L -4,,Denver Broncos,O 46.5,
Sun,"Dec 13, 2020",1:00,,Houston Texans,L 7-36,L -1,@,Chicago Bears,U 46.5,
Sun,"Dec 13, 2020",1:00,,Dallas Cowboys,W 30-7,W -3,@,Cincinnati Bengals,U 44,
Sun,"Dec 13, 2020",1:00,,Tennessee Titans,W 31-10,W -7.5,@,Jacksonville Jaguars,U 52.5,
Sun,"Dec 13, 2020",1:00,,Kansas City Chiefs,W 33-27,L -7.5,@,Miami Dolphins,O 52,
Sun,"Dec 13, 2020",1:00,,Arizona Cardinals,W 26-7,W -3,@,New York Giants,U 47.5,
Sun,"Dec 13, 2020",1:00,@,Tampa Bay Buccaneers,W 26-14,W -7,,Minnesota Vikings,U 52,
Sun,"Dec 13, 2020",4:05,,Indianapolis Colts,W 44-27,W -2.5,@,Las Vegas Raiders,O 52,
Sun,"Dec 13, 2020",4:05,@,Seattle Seahawks,W 40-3,W -16.5,,New York Jets,U 50.5,
Sun,"Dec 13, 2020",4:25,,Green Bay Packers,W 31-24,L -9.5,@,Detroit Lions,U 55.5,
Sun,"Dec 13, 2020",4:25,@,Los Angeles Chargers,W 20-17,W -1,,Atlanta Falcons,U 49.5,
Sun,"Dec 13, 2020",4:25,,New Orleans Saints,L 21-24,L -7.5,@,Philadelphia Eagles,O 43,
Sun,"Dec 13, 2020",4:25,@,San Francisco 49ers,L 15-23,L -3,,Washington Commanders,U 43.5,at Glendale
Sun,"Dec 13, 2020",8:20,@,Buffalo Bills,W 26-15,W -2,,Pittsburgh Steelers,U 48.5,
Mon,"Dec 14, 2020",8:15,,Baltimore Ravens,W 47-42,W -3,@,Cleveland Browns,O 46,
