Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,Nov 12 2020,8:20,,Indianapolis Colts,W 34-17,W -1,@,Tennessee Titans,O 49.5,
Sun,Nov 15 2020,1:00,,Tampa Bay Buccaneers,W 46-23,W -6,@,Carolina Panthers,O 49.5,
Sun,Nov 15 2020,1:00,@,Cleveland Browns,W 10-7,L -4.5,,Houston Texans,U 46.5,
Sun,Nov 15 2020,1:00,@,Detroit Lions,W 30-27,W -2.5,,Washington Football Team,O 45.5,
Sun,Nov 15 2020,1:00,@,Green Bay Packers,W 24-20,L -13.5,,Jacksonville Jaguars,U 47.5,
Sun,Nov 15 2020,1:00,,Philadelphia Eagles,L 17-27,L -5,@,New York Giants,U 46.5,
Sun,Nov 15 2020,4:05,@,Arizona Cardinals,W 32-30,L -3,,Buffalo Bills,O 56,
Sun,Nov 15 2020,4:05,@,Las Vegas Raiders,W 37-12,W -3.5,,Denver Broncos,U 50,
Sun,Nov 15 2020,4:05,@,Miami Dolphins,W 29-21,W -1.5,,Los Angeles Chargers,O 49,
Sun,Nov 15 2020,4:25,@,Los Angeles Rams,W 23-16,W -3,,Seattle Seahawks,U 55,
Sun,Nov 15 2020,4:25,@,New Orleans Saints,W 27-13,W -9.5,,San Francisco 49ers,U 50,
Sun,Nov 15 2020,4:25,@,Pittsburgh Steelers,W 36-10,W -6.5,,Cincinnati Bengals,P 46,
Sun,Nov 15 2020,8:20,,Baltimore Ravens,L 17-23,L -7,@,New England Patriots,U 44,
Mon,Nov 16 2020,8:15,,Minnesota Vikings,W 19-13,W -3.5,@,Chicago Bears,U 44.5,
