Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,Nov 5 2020,8:20,,Green Bay Packers,W 34-17,W -6,@,San Francisco 49ers,O 48.5,
Sun,Nov 8 2020,1:00,@,Atlanta Falcons,W 34-27,W -4.5,,Denver Broncos,O 50.5,
Sun,Nov 8 2020,1:00,,Seattle Seahawks,L 34-44,L -3,@,Buffalo Bills,O 55.5,
Sun,Nov 8 2020,1:00,@,Indianapolis Colts,L 10-24,L -1,,Baltimore Ravens,U 47.5,
Sun,Nov 8 2020,1:00,,Houston Texans,W 27-25,L -7,@,Jacksonville Jaguars,O 49,
Sun,Nov 8 2020,1:00,@,Kansas City Chiefs,W 33-31,L -10,,Carolina Panthers,O 51.5,
Sun,Nov 8 2020,1:00,@,Minnesota Vikings,W 34-20,W -3,,Detroit Lions,O 51.5,
Sun,Nov 8 2020,1:00,@,Tennessee Titans,W 24-17,W -6.5,,Chicago Bears,U 46.5,
Sun,Nov 8 2020,1:00,@,Washington Football Team,L 20-23,L -3,,New York Giants,U 43.5,
Sun,Nov 8 2020,4:05,,Las Vegas Raiders,W 31-26,W -1,@,Los Angeles Chargers,O 52.5,
Sun,Nov 8 2020,4:25,@,Arizona Cardinals,L 31-34,L -6,,Miami Dolphins,O 49,
Sun,Nov 8 2020,4:25,,Pittsburgh Steelers,W 24-19,L -14,@,Dallas Cowboys,U 44,
Sun,Nov 8 2020,8:20,@,Tampa Bay Buccaneers,L 3-38,L -3,,New Orleans Saints,U 51,
Mon,Nov 9 2020,8:15,,New England Patriots,W 30-27,L -9,@,New York Jets,O 42,
