Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sun,Nov 17 1996,1:00,@,Atlanta Falcons,W 17-15,L -4,,New Orleans Saints,U 44,
Sun,Nov 17 1996,1:00,@,Buffalo Bills,W 31-17,W -7,,Cincinnati Bengals,O 42,
Sun,Nov 17 1996,1:00,@,Detroit Lions,W 17-16,L -4.5,,Seattle Seahawks,U 45,
Sun,Nov 17 1996,1:00,@,Indianapolis Colts,W 34-29,L -6,,New York Jets,O 40,
Sun,Nov 17 1996,1:00,@,Kansas City Chiefs,W 14-10,L -8.5,,Chicago Bears,U 36,
Sun,Nov 17 1996,1:00,@,New England Patriots,L 8-34,L -2.5,,Denver Broncos,U 45.5,
Sun,Nov 17 1996,1:00,@,Philadelphia Eagles,L 21-26,L -6,,Washington Redskins,O 41,
Sun,Nov 17 1996,1:00,@,Pittsburgh Steelers,W 28-3,W -11,,Jacksonville Jaguars,U 41,
Sun,Nov 17 1996,1:00,,Carolina Panthers,W 20-10,W -3,@,St Louis Rams,U 41,
Sun,Nov 17 1996,4:00,@,Arizona Cardinals,W 31-23,W -1.5,,New York Giants,O 36,
Sun,Nov 17 1996,4:00,@,Houston Oilers,L 20-23,L -3.5,,Miami Dolphins,O 42,
Sun,Nov 17 1996,4:00,@,San Diego Chargers,L 17-25,L -7,,Tampa Bay Buccaneers,O 37.5,
Sun,Nov 17 1996,4:00,@,San Francisco 49ers,W 38-20,W -12,,Baltimore Ravens,O 45,
Sun,Nov 17 1996,8:00,@,Oakland Raiders,L 13-16 (OT),L -6.5,,Minnesota Vikings,U 41,
Mon,Nov 18 1996,9:00,@,Dallas Cowboys,W 21-6,W -4,,Green Bay Packers,U 43,
