Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sun,Sep 29 1996,1:00,@,Baltimore Ravens,W 17-10,W -6,,New Orleans Saints,U 41,
Sun,Sep 29 1996,1:00,@,Chicago Bears,W 19-17,P -2,,Oakland Raiders,U 38,
Sun,Sep 29 1996,1:00,,Denver Broncos,W 14-10,W -3,@,Cincinnati Bengals,U 43,
Sun,Sep 29 1996,1:00,,Carolina Panthers,L 14-24,L -2.5,@,Jacksonville Jaguars,U 39,
Sun,Sep 29 1996,1:00,,Minnesota Vikings,L 10-15,L -5.5,@,New York Giants,U 38,
Sun,Sep 29 1996,1:00,@,Pittsburgh Steelers,W 30-16,W -5.5,,Houston Oilers,O 39,
Sun,Sep 29 1996,1:00,,Detroit Lions,W 27-0,W -6.5,@,Tampa Bay Buccaneers,U 40,
Sun,Sep 29 1996,4:00,@,Arizona Cardinals,W 31-28 (OT),W -1,,St Louis Rams,O 38.5,
Sun,Sep 29 1996,4:00,@,San Diego Chargers,W 22-19,W -2,,Kansas City Chiefs,O 38.5,
Sun,Sep 29 1996,4:00,@,San Francisco 49ers,W 39-17,W -13,,Atlanta Falcons,O 43,
Sun,Sep 29 1996,4:00,,Green Bay Packers,W 31-10,W -9.5,@,Seattle Seahawks,U 43,
Sun,Sep 29 1996,8:00,@,Washington Redskins,W 31-16,W -8.5,,New York Jets,O 38.5,
Mon,Sep 30 1996,9:00,@,Philadelphia Eagles,L 19-23,L -2.5,,Dallas Cowboys,O 38,
