Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,Nov 28 1996,12:30,,Kansas City Chiefs,W 28-24,W -2,@,Detroit Lions,O 42,
Thu,Nov 28 1996,4:00,@,Dallas Cowboys,W 21-10,W -9,,Washington Redskins,U 43.5,
Sun,Dec 1 1996,1:00,,Pittsburgh Steelers,L 17-31,L -6.5,@,Baltimore Ravens,O 43,
Sun,Dec 1 1996,1:00,@,Carolina Panthers,W 24-0,W -6,,Tampa Bay Buccaneers,U 36.5,
Sun,Dec 1 1996,1:00,@,Green Bay Packers,W 28-17,W -10,,Chicago Bears,O 39.5,
Sun,Dec 1 1996,1:00,,Buffalo Bills,L 10-13 (OT),L -3,@,Indianapolis Colts,U 38,
Sun,Dec 1 1996,1:00,@,Jacksonville Jaguars,W 30-27,P -3,,Cincinnati Bengals,O 45,
Sun,Dec 1 1996,1:00,@,Minnesota Vikings,W 41-17,W -4.5,,Arizona Cardinals,O 42,
Sun,Dec 1 1996,1:00,@,Philadelphia Eagles,W 24-0,W -6.5,,New York Giants,U 39.5,
Sun,Dec 1 1996,4:00,@,Denver Broncos,W 34-7,W -10.5,,Seattle Seahawks,U 43,
Sun,Dec 1 1996,4:00,@,New Orleans Saints,L 10-26,L -3,,St Louis Rams,U 42,
Sun,Dec 1 1996,4:00,,Houston Oilers,W 35-10,W -3,@,New York Jets,O 41,
Sun,Dec 1 1996,4:00,@,Oakland Raiders,W 17-7,W -2,,Miami Dolphins,U 43.5,
Sun,Dec 1 1996,8:00,@,San Diego Chargers,L 7-45,L -2,,New England Patriots,O 45,
Mon,Dec 2 1996,9:00,,San Francisco 49ers,W 34-10,W -9.5,@,Atlanta Falcons,P 44,
