Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,Dec 5 1996,8:00,,Philadelphia Eagles,L 10-37,L -4,@,Indianapolis Colts,O 38,
Sun,Dec 8 1996,1:00,@,Chicago Bears,W 35-9,W -6.5,,St Louis Rams,O 37,
Sun,Dec 8 1996,1:00,@,Cincinnati Bengals,W 21-14,W -3,,Baltimore Ravens,U 47,
Sun,Dec 8 1996,1:00,@,Green Bay Packers,W 41-6,W -9,,Denver Broncos,O 39,
Sun,Dec 8 1996,1:00,@,Houston Oilers,L 17-23,L -6,,Jacksonville Jaguars,U 42.5,
Sun,Dec 8 1996,1:00,@,Miami Dolphins,L 7-17,L -7,,New York Giants,U 38.5,
Sun,Dec 8 1996,1:00,@,New Orleans Saints,L 15-31,L -2,,Atlanta Falcons,O 41,
Sun,Dec 8 1996,1:00,@,Pittsburgh Steelers,W 16-3,W -9.5,,San Diego Chargers,U 40,
Sun,Dec 8 1996,1:00,,Washington Redskins,L 10-24,L -3,@,Tampa Bay Buccaneers,U 38,
Sun,Dec 8 1996,4:00,,Dallas Cowboys,W 10-6,L -10,@,Arizona Cardinals,U 42.5,
Sun,Dec 8 1996,4:00,@,New England Patriots,W 34-10,W -13,,New York Jets,O 43.5,
Sun,Dec 8 1996,4:00,@,San Francisco 49ers,L 24-30,L -9,,Carolina Panthers,O 40,
Sun,Dec 8 1996,4:00,,Buffalo Bills,L 18-26,L -4,@,Seattle Seahawks,O 41.5,
Sun,Dec 8 1996,8:00,@,Detroit Lions,L 22-24,L -2.5,,Minnesota Vikings,O 44,
Mon,Dec 9 1996,9:00,@,Oakland Raiders,W 26-7,W -2,,Kansas City Chiefs,U 40,
