Round,Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
AFC Wild Card,Sat,"Dec 28, 1996",12:30,@,Buffalo Bills (4),L 27-30,L -8.5,,Jacksonville Jaguars (5),O 38
NFC Wild Card,Sat,"Dec 28, 1996",4:00,@,Dallas Cowboys (3),W 40-15,W -10,,Minnesota Vikings (6),O 40
AFC Wild Card,Sun,"Dec 29, 1996",12:30,@,Pittsburgh Steelers (3),W 42-14,W -8,,Indianapolis Colts (6),O 37
NFC Wild Card,Sun,"Dec 29, 1996",4:00,@,San Francisco 49ers (4),W 14-0,W -10.5,,Philadelphia Eagles (5),U 40
NFC Divisional,Sat,"Jan 4, 1997",12:30,@,Green Bay Packers (1),W 35-14,W -6,,San Francisco 49ers (4),O 41.5
AFC Divisional,Sat,"Jan 4, 1997",4:00,@,Denver Broncos (1),L 27-30,L -14,,Jacksonville Jaguars (5),O 45
AFC Divisional,Sun,"Jan 5, 1997",12:30,@,New England Patriots (2),W 28-3,W -3,,Pittsburgh Steelers (3),U 41.5
NFC Divisional,Sun,"Jan 5, 1997",4:00,,Dallas Cowboys (3),L 17-26,L -3.5,@,Carolina Panthers (2),O 37.5
NFC Championship,Sun,"Jan 12, 1997",12:30,@,Green Bay Packers (1),W 30-13,W -12,,Carolina Panthers (2),O 39
AFC Championship,Sun,"Jan 12, 1997",4:00,@,New England Patriots (2),W 20-6,W -7.5,,Jacksonville Jaguars (5),U 44
Super Bowl XXXI,Sun,"Jan 26, 1997",6:30,N,Green Bay Packers (1),W 35-21,P -14,,New England Patriots (2),O 49
