Fri,"Oct 8, 1965",,,Oakland Raiders,W 24-10,W -5,@,Boston Patriots,,
Sun,"Oct 10, 1965",,,San Diego Chargers,W 34-3,W -1,@,Buffalo Bills,,
Sun,"Oct 10, 1965",,,Kansas City Chiefs,W 31-23,W -2.5,@,Denver Broncos,,
