Sat,"Sep 11, 1965",,@,Buffalo Bills,W 24-7,W -7,,Boston Patriots,,
Sat,"Sep 11, 1965",,@,San Diego Chargers,W 34-31,N/A,,Denver Broncos,,
Sun,"Sep 12, 1965",,@,Houston Oilers,W 27-21,L -10,,New York Jets,,
Sun,"Sep 12, 1965",,@,Oakland Raiders,W 37-10,N/A,,Kansas City Chiefs,,
