AFL Championship,Sun,"Dec 26, 1965",,@,San Diego Chargers,L 0-23,L -6,,Buffalo Bills,
NFL Championship,Sun,"Jan 2, 1966",,@,Green Bay Packers,W 23-12,W -2,,Cleveland Browns,
