Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
NFC Wild Card,Sat,"Jan 8, 1983",12:30,@,Green Bay Packers (3),W 41-16,W -4.5,,St Louis Cardinals (6),O 37.5
NFC Wild Card,Sat,"Jan 8, 1983",12:30,@,Washington Commanders (1),W 31-7,W -6,,Detroit Lions (8),O 37
AFC Wild Card,Sat,"Jan 8, 1983",4:00,@,Miami Dolphins (2),W 28-13,W -7.5,,New England Patriots (7),O 36
AFC Wild Card,Sat,"Jan 8, 1983",4:00,@,Los Angeles Raiders (1),W 27-10,W -8.5,,Cleveland Browns (8),U 44.5
AFC Wild Card,Sun,"Jan 9, 1983",12:30,@,Cincinnati Bengals (3),L 17-44,L -4,,New York Jets (6),O 44.5
AFC Wild Card,Sun,"Jan 9, 1983",12:30,@,Pittsburgh Steelers (4),L 28-31,L -1,,San Diego Chargers (5),O 53
NFC Wild Card,Sun,"Jan 9, 1983",4:00,@,Minnesota Vikings (4),W 30-24,W -2,,Atlanta Falcons (5),O 46.5
NFC Wild Card,Sun,"Jan 9, 1983",4:00,@,Dallas Cowboys (2),W 30-17,W -8,,Tampa Bay Buccaneers (7),O 38.5
NFC Divisional,Sat,"Jan 15, 1983",12:30,@,Washington Commanders (1),W 21-7,W -6,,Minnesota Vikings (4),U 43.5
AFC Divisional,Sat,"Jan 15, 1983",4:00,@,Los Angeles Raiders (1),L 14-17,L -3.5,,New York Jets (6),U 48
AFC Divisional,Sun,"Jan 16, 1983",12:30,,San Diego Chargers (5),L 13-34,L -1.5,@,Miami Dolphins (2),U 53
NFC Divisional,Sun,"Jan 16, 1983",4:00,@,Dallas Cowboys (2),W 37-26,W -7,,Green Bay Packers (3),O 48
NFC Championship,Sat,"Jan 22, 1983",12:30,,Dallas Cowboys (2),L 17-31,L -2,@,Washington Commanders (1),O 38.5
AFC Championship,Sun,"Jan 23, 1983",1:00,@,Miami Dolphins (2),W 14-0,W -1,,New York Jets (6),U 38.5
Super Bowl XVII,Sun,"Jan 30, 1983",6:00,N,Miami Dolphins (2),L 17-27,L -3,,Washington Commanders (1),O 36.5
