Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Sat,"Dec 18, 1982",12:30,@,Miami Dolphins,W 20-19,W PK,,New York Jets,O 35,
Sat,"Dec 18, 1982",4:00,@,Los Angeles Raiders,W 37-31,L -8,,Los Angeles Rams,O 47,
Sun,"Dec 19, 1982",1:00,,St Louis Cardinals,W 10-7,W -1,@,Chicago Bears,U 35,
Sun,"Dec 19, 1982",1:00,,Pittsburgh Steelers,L 9-10,L -3.5,@,Cleveland Browns,U 39,
Sun,"Dec 19, 1982",1:00,@,Detroit Lions,L 31-34,L -4,,Minnesota Vikings,O 38,
Sun,"Dec 19, 1982",1:00,@,Philadelphia Eagles,W 35-14,W -6,,Houston Oilers,O 35,
Sun,"Dec 19, 1982",1:00,@,Washington Commanders,W 15-14,L -3.5,,New York Giants,U 36,
Sun,"Dec 19, 1982",2:00,,Green Bay Packers,T 20-20 (OT),L -7,@,Baltimore Colts,O 36,
Sun,"Dec 19, 1982",4:00,@,Dallas Cowboys,W 21-7,W -10,,New Orleans Saints,U 39,
Sun,"Dec 19, 1982",4:00,@,Denver Broncos,L 16-37,L -6.5,,Kansas City Chiefs,O 38,
Sun,"Dec 19, 1982",4:00,@,Seattle Seahawks,L 0-16,L -4,,New England Patriots,U 33,
Sun,"Dec 19, 1982",4:00,@,Tampa Bay Buccaneers,W 24-23,P -1,,Buffalo Bills,O 34,
Sun,"Dec 19, 1982",9:00,@,San Francisco 49ers,L 7-17,L -4,,Atlanta Falcons,U 50,
Mon,"Dec 20, 1982",9:00,@,San Diego Chargers,W 50-34,W -3,,Cincinnati Bengals,O 50,
