Thu,"Dec 2, 1982",9:00,,San Francisco 49ers,W 30-24,W -2.5,@,Los Angeles Rams,O 42,
Sun,"Dec 5, 1982",1:00,@,Chicago Bears,W 26-13,W -2,,New England Patriots,O 36,
Sun,"Dec 5, 1982",1:00,,San Diego Chargers,W 30-13,W -3,@,Cleveland Browns,U 44,
Sun,"Dec 5, 1982",1:00,@,Green Bay Packers,W 33-21,W -2.5,,Buffalo Bills,O 38,at Milwaukee
Sun,"Dec 5, 1982",1:00,@,Miami Dolphins,W 22-14,W -6,,Minnesota Vikings,U 38,
Sun,"Dec 5, 1982",1:00,@,New Orleans Saints,L 10-13,L -2.5,,Tampa Bay Buccaneers,U 35,
Sun,"Dec 5, 1982",1:00,@,New York Giants,W 17-14,L -7,,Houston Oilers,U 35,
Sun,"Dec 5, 1982",1:00,@,Philadelphia Eagles,L 20-23,L -5.5,,St Louis Cardinals,O 39,
Sun,"Dec 5, 1982",1:00,@,Pittsburgh Steelers,W 35-14,W -6.5,,Kansas City Chiefs,O 41,
Sun,"Dec 5, 1982",4:00,,Cincinnati Bengals,W 20-17,L -14.5,@,Baltimore Colts,U 38,
Sun,"Dec 5, 1982",4:00,@,Denver Broncos,L 27-34,L -3.5,,Atlanta Falcons,O 42,
Sun,"Dec 5, 1982",4:00,@,Los Angeles Raiders,W 28-23,L -6.5,,Seattle Seahawks,O 40,
Sun,"Dec 5, 1982",4:00,,Dallas Cowboys,W 24-10,W -2,@,Washington Redskins,U 42,
Mon,"Dec 6, 1982",9:00,@,Detroit Lions,L 13-28,L -1,,New York Jets,O 39,
