Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,Dec 4 1997,8:00,,Tennessee Oilers,L 14-41,L -3,@,Cincinnati Bengals,O 41.5,
Sun,Dec 7 1997,1:00,@,Baltimore Ravens,W 31-24,W -1,,Seattle Seahawks,O 45.5,
Sun,Dec 7 1997,1:00,,Buffalo Bills,L 3-20,L -1.5,@,Chicago Bears,U 37,
Sun,Dec 7 1997,1:00,@,Jacksonville Jaguars,L 20-26,L -3.5,,New England Patriots,O 44.5,
Sun,Dec 7 1997,1:00,@,Kansas City Chiefs,W 30-0,W -9,,Oakland Raiders,U 42,
Sun,Dec 7 1997,1:00,@,New Orleans Saints,L 27-34,L -1.5,,St Louis Rams,O 37,
Sun,Dec 7 1997,1:00,@,Philadelphia Eagles,L 21-31,L -4,,New York Giants,O 35.5,
Sun,Dec 7 1997,1:00,@,Pittsburgh Steelers,W 35-24,W -1,,Denver Broncos,O 43,
Sun,Dec 7 1997,1:00,,Green Bay Packers,W 17-6,W -4,@,Tampa Bay Buccaneers,U 38,
Sun,Dec 7 1997,4:00,,Washington Redskins,W 38-28,W -2.5,@,Arizona Cardinals,O 38,
Sun,Dec 7 1997,4:00,@,New York Jets,L 14-22,L -8,,Indianapolis Colts,U 41,
Sun,Dec 7 1997,4:00,,Atlanta Falcons,W 14-3,W -3,@,San Diego Chargers,U 43.5,
Sun,Dec 7 1997,4:00,@,San Francisco 49ers,W 28-17,W -7,,Minnesota Vikings,O 41,
Sun,Dec 7 1997,8:00,@,Miami Dolphins,W 33-30,L -3.5,,Detroit Lions,O 43,
Mon,Dec 8 1997,9:00,@,Dallas Cowboys,L 13-23,L -6.5,,Carolina Panthers,U 36.5,
