Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sun,Sep 7 1997,1:00,,Carolina Panthers,W 9-6,L -3.5,@,Atlanta Falcons,U 38.5,
Sun,Sep 7 1997,1:00,,Cincinnati Bengals,L 10-23,L -1.5,@,Baltimore Ravens,U 47,
Sun,Sep 7 1997,1:00,,Minnesota Vikings,W 27-24,W -1,@,Chicago Bears,O 42,
Sun,Sep 7 1997,1:00,@,Detroit Lions,L 17-24,L -5,,Tampa Bay Buccaneers,O 40,
Sun,Sep 7 1997,1:00,,New England Patriots,W 31-6,W -4.5,@,Indianapolis Colts,U 43,
Sun,Sep 7 1997,1:00,@,Miami Dolphins,W 16-13 (OT),L -6.5,,Tennessee Oilers,U 40,
Sun,Sep 7 1997,1:00,@,New Orleans Saints,L 6-20,L -2,,San Diego Chargers,U 40,
Sun,Sep 7 1997,1:00,@,New York Jets,L 22-28,L -4.5,,Buffalo Bills,O 41,
Sun,Sep 7 1997,1:00,@,Pittsburgh Steelers,W 14-13,L -3.5,,Washington Redskins,U 40.5,
Sun,Sep 7 1997,1:00,,San Francisco 49ers,W 15-12,L -5,@,St Louis Rams,U 40.5,
Sun,Sep 7 1997,4:00,@,Jacksonville Jaguars,W 40-13,W -5.5,,New York Giants,O 42,
Sun,Sep 7 1997,4:00,,Green Bay Packers,L 9-10,L -7.5,@,Philadelphia Eagles,U 43,
Sun,Sep 7 1997,4:00,,Denver Broncos,W 35-14,W -4.5,@,Seattle Seahawks,O 42,
Sun,Sep 7 1997,8:00,,Dallas Cowboys,L 22-25 (OT),L -9.5,@,Arizona Cardinals,O 41.5,
Mon,Sep 8 1997,9:00,@,Oakland Raiders,L 27-28,L -4.5,,Kansas City Chiefs,O 40.5,
