Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Sun,"Oct 26, 1997",1:00,,Denver Broncos,W 23-20 (OT),L -7,@,Buffalo Bills,P 43,
Sun,"Oct 26, 1997",1:00,,San Francisco 49ers,W 23-0,W -13.5,@,New Orleans Saints,U 39,
Sun,"Oct 26, 1997",1:00,@,New York Giants,W 29-27,L -6,,Cincinnati Bengals,O 40.5,
Sun,"Oct 26, 1997",1:00,,Dallas Cowboys,L 12-13,L -1,@,Philadelphia Eagles,U 41,
Sun,"Oct 26, 1997",1:00,,Kansas City Chiefs,W 28-20,W -5.5,@,St Louis Rams,O 39,
Sun,"Oct 26, 1997",1:00,@,Washington Redskins,L 17-20,L -6.5,,Baltimore Ravens,U 44.5,
Sun,"Oct 26, 1997",4:00,@,Arizona Cardinals,L 14-41,L -2,,Tennessee Oilers,O 38,
Sun,"Oct 26, 1997",4:00,@,Pittsburgh Steelers,W 23-17 (OT),W -3,,Jacksonville Jaguars,U 44.5,
Sun,"Oct 26, 1997",4:00,@,San Diego Chargers,W 35-19,W -5.5,,Indianapolis Colts,O 38,
Sun,"Oct 26, 1997",4:00,@,Seattle Seahawks,W 45-34,W -1.5,,Oakland Raiders,O 44,
Sun,"Oct 26, 1997",4:00,@,Tampa Bay Buccaneers,L 6-10,L -2.5,,Minnesota Vikings,U 40,
Sun,"Oct 26, 1997",8:00,@,Carolina Panthers,W 21-12,W -8.5,,Atlanta Falcons,U 38,
Mon,"Oct 27, 1997",9:00,@,Miami Dolphins,L 33-36 (OT),L -9.5,,Chicago Bears,O 40,
Mon,"Oct 27, 1997",9:00,@,New England Patriots,L 10-28,L -1,,Green Bay Packers,U 45,
