Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,Dec 4 2014,8:26,,Dallas Cowboys,W 41-28,W -4,@,Chicago Bears,O 50.5,
Sun,Dec 7 2014,1:02,@,Cincinnati Bengals,L 21-42,L -3,,Pittsburgh Steelers,O 47.5,
Sun,Dec 7 2014,1:02,@,Detroit Lions,W 34-17,W -10.5,,Tampa Bay Buccaneers,O 42,
Sun,Dec 7 2014,1:02,@,Miami Dolphins,L 13-28,L -3,,Baltimore Ravens,U 45,
Sun,Dec 7 2014,1:02,@,Minnesota Vikings,W 30-24 (OT),W -4.5,,New York Jets,O 40,
Sun,Dec 7 2014,1:03,,Indianapolis Colts,W 25-24,L -3,@,Cleveland Browns,U 50,
Sun,Dec 7 2014,1:03,,Houston Texans,W 27-13,W -6.5,@,Jacksonville Jaguars,U 42,
Sun,Dec 7 2014,1:03,@,New Orleans Saints,L 10-41,L -9,,Carolina Panthers,O 50.5,
Sun,Dec 7 2014,1:03,,New York Giants,W 36-7,W -3,@,Tennessee Titans,U 46.5,
Sun,Dec 7 2014,1:03,,St Louis Rams,W 24-0,W -3,@,Washington Redskins,U 44.5,
Sun,Dec 7 2014,4:05,,Kansas City Chiefs,L 14-17,L -2.5,@,Arizona Cardinals,U 41,
Sun,Dec 7 2014,4:05,@,Denver Broncos,W 24-17,L -9.5,,Buffalo Bills,U 47.5,
Sun,Dec 7 2014,4:25,,San Francisco 49ers,L 13-24,L -9,@,Oakland Raiders,U 40.5,
Sun,Dec 7 2014,4:25,,Seattle Seahawks,W 24-14,W -2,@,Philadelphia Eagles,U 48,
Sun,Dec 7 2014,8:30,,New England Patriots,W 23-14,W -4,@,San Diego Chargers,U 54,
Mon,Dec 8 2014,8:30,@,Green Bay Packers,W 43-37,L -13.5,,Atlanta Falcons,O 54.5,
