NFC Wild Card,Sat,"Jan 3, 2015",4:20,@,Carolina Panthers (4),W 27-16,W -5.5,,Arizona Cardinals (5),O 37.5
AFC Wild Card,Sat,"Jan 3, 2015",8:15,@,Pittsburgh Steelers (3),L 17-30,L -3,,Baltimore Ravens (6),P 47
AFC Wild Card,Sun,"Jan 4, 2015",1:05,@,Indianapolis Colts (4),W 26-10,W -3.5,,Cincinnati Bengals (5),U 48
NFC Wild Card,Sun,"Jan 4, 2015",4:41,@,Dallas Cowboys (3),W 24-20,L -6.5,,Detroit Lions (6),U 48.5
AFC Divisional,Sat,"Jan 10, 2015",4:35,@,New England Patriots (1),W 35-31,L -7,,Baltimore Ravens (6),O 47.5
NFC Divisional,Sat,"Jan 10, 2015",8:21,@,Seattle Seahawks (1),W 31-17,W -13.5,,Carolina Panthers (4),O 39.5
NFC Divisional,Sun,"Jan 11, 2015",1:05,@,Green Bay Packers (2),W 26-21,L -6,,Dallas Cowboys (3),U 51.5
AFC Divisional,Sun,"Jan 11, 2015",4:40,@,Denver Broncos (2),L 13-24,L -7,,Indianapolis Colts (4),U 53.5
NFC Championship,Sun,"Jan 18, 2015",3:06,@,Seattle Seahawks (1),W 28-22 (OT),L -8.5,,Green Bay Packers (2),O 45
AFC Championship,Sun,"Jan 18, 2015",6:50,@,New England Patriots (1),W 45-7,W -7,,Indianapolis Colts (4),U 52.5
Super Bowl XLIX,Sun,"Feb 1, 2015",6:30,N,Seattle Seahawks (1),L 24-28,L -1,,New England Patriots (1),O 47
