Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,Dec 11 2014,8:25,@,St Louis Rams,L 6-12,L -4.5,,Arizona Cardinals,U 40.5,
Sun,Dec 14 2014,1:02,,Pittsburgh Steelers,W 27-20,W -3,@,Atlanta Falcons,U 55,
Sun,Dec 14 2014,1:02,@,Baltimore Ravens,W 20-12,L -13.5,,Jacksonville Jaguars,U 45,
Sun,Dec 14 2014,1:02,,Green Bay Packers,L 13-21,L -4,@,Buffalo Bills,U 50,
Sun,Dec 14 2014,1:02,@,Cleveland Browns,L 0-30,L -1,,Cincinnati Bengals,U 44,
Sun,Dec 14 2014,1:02,@,Indianapolis Colts,W 17-10,W -6.5,,Houston Texans,U 49,
Sun,Dec 14 2014,1:02,@,New England Patriots,W 41-13,W -7.5,,Miami Dolphins,O 48,
Sun,Dec 14 2014,1:02,@,New York Giants,W 24-13,W -6.5,,Washington Redskins,U 47,
Sun,Dec 14 2014,1:03,@,Carolina Panthers,W 19-17,L -3,,Tampa Bay Buccaneers,U 41,
Sun,Dec 14 2014,1:03,@,Kansas City Chiefs,W 31-13,W -10,,Oakland Raiders,O 41.5,
Sun,Dec 14 2014,4:05,,Denver Broncos,W 22-10,W -4.5,@,San Diego Chargers,U 50.5,
Sun,Dec 14 2014,4:05,,New York Jets,W 16-11,W -3,@,Tennessee Titans,U 42,
Sun,Dec 14 2014,4:25,@,Detroit Lions,W 16-14,L -7.5,,Minnesota Vikings,U 41.5,
Sun,Dec 14 2014,4:26,@,Seattle Seahawks,W 17-7,W -9.5,,San Francisco 49ers,U 38,
Sun,Dec 14 2014,8:35,@,Philadelphia Eagles,L 27-38,L -3,,Dallas Cowboys,O 55,
Mon,Dec 15 2014,8:30,,New Orleans Saints,W 31-15,W -3,@,Chicago Bears,U 53.5,
