Thu,"Sep 15, 2016",8:26,@,Buffalo Bills,L 31-37,L -1,,New York Jets,O 40.5,
Sun,"Sep 18, 2016",1:02,,Baltimore Ravens,W 25-20,W -4,@,Cleveland Browns,O 42,
Sun,"Sep 18, 2016",1:02,@,Detroit Lions,L 15-16,L -6,,Tennessee Titans,U 48,
Sun,"Sep 18, 2016",1:02,,Kansas City Chiefs,L 12-19,L -1,@,Houston Texans,U 41.5,
Sun,"Sep 18, 2016",1:02,@,New England Patriots,W 31-24,W -5.5,,Miami Dolphins,O 42,
Sun,"Sep 18, 2016",1:02,@,Pittsburgh Steelers,W 24-16,W -3,,Cincinnati Bengals,U 48,
Sun,"Sep 18, 2016",1:03,@,Carolina Panthers,W 46-27,W -12,,San Francisco 49ers,O 44.5,
Sun,"Sep 18, 2016",1:03,@,New York Giants,W 16-13,L -3.5,,New Orleans Saints,U 54,
Sun,"Sep 18, 2016",1:03,@,Washington Redskins,L 23-27,L -3.5,,Dallas Cowboys,O 47,
Sun,"Sep 18, 2016",1:05,@,Arizona Cardinals,W 40-7,W -7.5,,Tampa Bay Buccaneers,U 49.5,
Sun,"Sep 18, 2016",4:08,,Seattle Seahawks,L 3-9,L -5.5,@,Los Angeles Rams,U 38,
Sun,"Sep 18, 2016",4:25,@,Denver Broncos,W 34-20,W -6,,Indianapolis Colts,O 47,
Sun,"Sep 18, 2016",4:25,@,Oakland Raiders,L 28-35,L -4,,Atlanta Falcons,O 47.5,
Sun,"Sep 18, 2016",4:25,@,San Diego Chargers,W 38-14,W -3,,Jacksonville Jaguars,O 47.5,
Sun,"Sep 18, 2016",8:32,,Green Bay Packers,L 14-17,L -1.5,@,Minnesota Vikings,U 43,
Mon,"Sep 19, 2016",8:30,@,Chicago Bears,L 14-29,L -3,,Philadelphia Eagles,O 42.5,
