Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
NFC Divisional,Sat,"Dec 25, 1971",1:00,,Dallas Cowboys,W 20-12,W -1,@,Minnesota Vikings,
AFC Divisional,Sat,"Dec 25, 1971",4:00,@,Kansas City Chiefs,L 24-27 (2OT),L -3,,Miami Dolphins,
AFC Divisional,Sun,"Dec 26, 1971",1:00,,Baltimore Colts,W 20-3,W -4,@,Cleveland Browns,
NFC Divisional,Sun,"Dec 26, 1971",4:00,@,San Francisco 49ers,W 24-20,L -5.5,,Washington Commanders,
NFC Championship,Sun,"Jan 2, 1972",1:30,@,Dallas Cowboys,W 14-3,W -5,,San Francisco 49ers,
AFC Championship,Sun,"Jan 2, 1972",4:30,@,Miami Dolphins,W 21-0,W -1,,Baltimore Colts,
Super Bowl VI,Sun,"Jan 16, 1972",2:50,N,Dallas Cowboys,W 24-3,W -6,,Miami Dolphins,U 34
