Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sun,Nov 21 1971,1:00,,New York Jets,W 20-7,W -4,@,Buffalo Bills,,
Sun,Nov 21 1971,1:00,@,Cincinnati Bengals,W 28-13,W -9,,Houston Oilers,,
Sun,Nov 21 1971,1:00,@,Cleveland Browns,W 27-7,W -9,,New England Patriots,,
Sun,Nov 21 1971,1:00,@,Miami Dolphins,W 17-14,P -3,,Baltimore Colts,,
Sun,Nov 21 1971,1:00,@,Pittsburgh Steelers,W 17-13,W -3.5,,New York Giants,,
Sun,Nov 21 1971,1:00,,Dallas Cowboys,W 13-0,W -1,@,Washington Redskins,,
Sun,Nov 21 1971,2:00,,Detroit Lions,W 28-3,W -2,@,Chicago Bears,,
Sun,Nov 21 1971,2:00,@,Kansas City Chiefs,W 28-10,W -14,,Denver Broncos,,
Sun,Nov 21 1971,2:00,,Minnesota Vikings,W 23-10,W -9,@,New Orleans Saints,,
Sun,Nov 21 1971,2:00,@,St Louis Cardinals,L 20-37,L -7,,Philadelphia Eagles,,
Sun,Nov 21 1971,4:00,@,Los Angeles Rams,W 17-6,W -1,,San Francisco 49ers,,
Sun,Nov 21 1971,4:00,@,Oakland Raiders,W 34-33,L -9,,San Diego Chargers,,
Mon,Nov 22 1971,9:00,@,Atlanta Falcons,W 28-21,W -3,,Green Bay Packers,,
