Sat,"Oct 23, 1971",9:00,@,San Diego Chargers,W 20-3,W -12,,Buffalo Bills,,
Sun,"Oct 24, 1971",1:00,@,Atlanta Falcons,W 28-6,W -7,,New Orleans Saints,,
Sun,"Oct 24, 1971",1:00,@,Cleveland Browns,L 0-27,L -11,,Denver Broncos,,
Sun,"Oct 24, 1971",1:00,,Miami Dolphins,W 30-14,W -8,@,New York Jets,,
Sun,"Oct 24, 1971",1:00,,New York Giants,L 7-23,L -5,@,Philadelphia Eagles,,
Sun,"Oct 24, 1971",1:00,@,Pittsburgh Steelers,W 23-16,P -7,,Houston Oilers,,
Sun,"Oct 24, 1971",2:00,@,Dallas Cowboys,W 44-21,W -19,,New England Patriots,,
Sun,"Oct 24, 1971",2:00,@,Detroit Lions,L 23-28,L -12,,Chicago Bears,,
Sun,"Oct 24, 1971",2:00,,San Francisco 49ers,W 26-14,W -6,@,St Louis Cardinals,,
Sun,"Oct 24, 1971",4:00,@,Kansas City Chiefs,W 27-20,W -5,,Washington Redskins,,
Sun,"Oct 24, 1971",4:00,@,Los Angeles Rams,W 30-13,W -6.5,,Green Bay Packers,,
Sun,"Oct 24, 1971",4:00,@,Oakland Raiders,W 31-27,L -11,,Cincinnati Bengals,,
Mon,"Oct 25, 1971",9:00,@,Minnesota Vikings,W 10-3,W -3,,Baltimore Colts,,
