Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Sat,"Dec 4, 1971",4:00,@,Dallas Cowboys,W 52-10,W -7,,New York Jets,,
Sun,"Dec 5, 1971",1:00,@,Atlanta Falcons,W 24-13,W -3,,Oakland Raiders,,
Sun,"Dec 5, 1971",1:00,@,Cleveland Browns,W 31-27,W -1,,Cincinnati Bengals,,
Sun,"Dec 5, 1971",1:00,@,Detroit Lions,L 20-23,L -13,,Philadelphia Eagles,,
Sun,"Dec 5, 1971",1:00,,Miami Dolphins,L 13-34,L -12,@,New England Patriots,,
Sun,"Dec 5, 1971",1:00,@,Washington Commanders,W 23-7,W -7,,New York Giants,,
Sun,"Dec 5, 1971",2:00,@,Baltimore Colts,W 24-0,W -16,,Buffalo Bills,,
Sun,"Dec 5, 1971",2:00,,Pittsburgh Steelers,L 3-29,L -4,@,Houston Oilers,,
Sun,"Dec 5, 1971",4:00,@,Denver Broncos,W 6-3,P -3,,Chicago Bears,,
Sun,"Dec 5, 1971",4:00,@,Los Angeles Rams,W 45-28,W -12,,New Orleans Saints,,
Sun,"Dec 5, 1971",4:00,,Minnesota Vikings,L 14-30,L -13,@,San Diego Chargers,,
Sun,"Dec 5, 1971",4:00,@,St Louis Cardinals,T 16-16,L -2,,Green Bay Packers,,
Mon,"Dec 6, 1971",9:00,@,San Francisco 49ers,L 17-26,L -2.5,,Kansas City Chiefs,,
