Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Sun,"Oct 17, 1971",1:00,,Los Angeles Rams,W 24-16,W -3.5,@,Atlanta Falcons,,
Sun,"Oct 17, 1971",1:00,@,Miami Dolphins,W 41-3,W -14,,New England Patriots,,
Sun,"Oct 17, 1971",1:00,,Baltimore Colts,W 31-7,W -8,@,New York Giants,,
Sun,"Oct 17, 1971",1:00,@,New York Jets,W 28-17,W -4,,Buffalo Bills,,
Sun,"Oct 17, 1971",1:00,@,Washington Commanders,W 20-0,W -4,,St Louis Cardinals,,
Sun,"Oct 17, 1971",2:00,,Detroit Lions,W 31-7,W -9,@,Houston Oilers,,
Sun,"Oct 17, 1971",2:00,,Dallas Cowboys,L 14-24,L -17,@,New Orleans Saints,,
Sun,"Oct 17, 1971",4:00,,Cleveland Browns,W 27-24,L -6,@,Cincinnati Bengals,,
Sun,"Oct 17, 1971",4:00,,San Diego Chargers,L 16-20,L -3.5,@,Denver Broncos,,
Sun,"Oct 17, 1971",4:00,,Minnesota Vikings,W 24-13,W -8,@,Green Bay Packers,,
Sun,"Oct 17, 1971",4:00,@,Oakland Raiders,W 34-10,W -18,,Philadelphia Eagles,,
Sun,"Oct 17, 1971",4:00,@,San Francisco 49ers,W 13-0,W -8,,Chicago Bears,,
Mon,"Oct 18, 1971",9:00,@,Kansas City Chiefs,W 38-16,W -9,,Pittsburgh Steelers,,
