Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Sun,"Jan 6, 2002",12:03,,San Francisco 49ers,W 38-0,W -2.5,@,New Orleans Saints,U 46.5,
Sun,"Jan 6, 2002",1:00,@,Indianapolis Colts,W 29-10,W -2,,Denver Broncos,U 51,
Sun,"Jan 6, 2002",1:01,@,Pittsburgh Steelers,W 28-7,W -7,,Cleveland Browns,O 34.5,
Sun,"Jan 6, 2002",1:01,@,Washington Commanders,W 20-17,L -3.5,,Arizona Cardinals,O 36.5,
Sun,"Jan 6, 2002",1:02,,New England Patriots,W 38-6,W -6.5,@,Carolina Panthers,O 36,
Sun,"Jan 6, 2002",1:02,@,Chicago Bears,W 33-13,W -6,,Jacksonville Jaguars,O 33.5,
Sun,"Jan 6, 2002",1:03,,Dallas Cowboys,L 10-15,L -3,@,Detroit Lions,U 36,
Sun,"Jan 6, 2002",1:03,@,Tennessee Titans,L 21-23,L -5.5,,Cincinnati Bengals,O 37.5,
Sun,"Jan 6, 2002",1:04,,Green Bay Packers,W 34-25,W -3,@,New York Giants,O 36.5,
Sun,"Jan 6, 2002",4:05,@,St Louis Rams,W 31-13,W -14.5,,Atlanta Falcons,U 48,
Sun,"Jan 6, 2002",4:15,@,Oakland Raiders,L 22-24,L -4.5,,New York Jets,O 41.5,
Sun,"Jan 6, 2002",4:16,@,Seattle Seahawks,W 21-18,L -3.5,,Kansas City Chiefs,U 40,
Sun,"Jan 6, 2002",4:17,@,Miami Dolphins,W 34-7,W -6.5,,Buffalo Bills,O 36.5,
Sun,"Jan 6, 2002",8:30,@,Tampa Bay Buccaneers,L 13-17,L -3,,Philadelphia Eagles,U 33,
Mon,"Jan 7, 2002",9:07,@,Baltimore Ravens,W 19-3,W -10,,Minnesota Vikings,U 37.5,
