Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,Nov 29 2001,8:30,,Philadelphia Eagles,W 23-10,W -3,@,Kansas City Chiefs,U 37,
Sun,Dec 2 2001,1:01,@,Pittsburgh Steelers,W 21-16,L -7,,Minnesota Vikings,U 41,
Sun,Dec 2 2001,1:02,@,Baltimore Ravens,W 39-27,W -7,,Indianapolis Colts,O 43,
Sun,Dec 2 2001,1:02,,Tampa Bay Buccaneers,W 16-13 (OT),L -5,@,Cincinnati Bengals,U 35,
Sun,Dec 2 2001,1:02,@,Cleveland Browns,L 15-31,L -1.5,,Tennessee Titans,O 35.5,
Sun,Dec 2 2001,1:02,@,Miami Dolphins,W 21-10,W -3,,Denver Broncos,U 39.5,
Sun,Dec 2 2001,1:02,@,New York Jets,L 16-17,L -3,,New England Patriots,U 38,
Sun,Dec 2 2001,1:03,@,Chicago Bears,W 13-10,L -7,,Detroit Lions,U 38,
Sun,Dec 2 2001,1:03,@,New Orleans Saints,W 27-23,L -10,,Carolina Panthers,O 41,
Sun,Dec 2 2001,4:05,@,Seattle Seahawks,W 13-10 (OT),P -3,,San Diego Chargers,U 43,
Sun,Dec 2 2001,4:15,,St Louis Rams,W 35-6,W -8,@,Atlanta Falcons,U 47,
Sun,Dec 2 2001,4:15,@,Oakland Raiders,L 31-34 (OT),L -13,,Arizona Cardinals,O 44,
Sun,Dec 2 2001,4:15,@,Washington Redskins,L 14-20,L -8.5,,Dallas Cowboys,U 35.5,
Sun,Dec 2 2001,8:36,@,San Francisco 49ers,W 35-0,W -8.5,,Buffalo Bills,U 44.5,
Mon,Dec 3 2001,9:07,,Green Bay Packers,W 28-21,W -3,@,Jacksonville Jaguars,O 43,
