Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,Oct 18 2001,8:35,@,Jacksonville Jaguars,L 10-13,L -9,,Buffalo Bills,U 38.5,
Sun,Oct 21 2001,12:03,@,New Orleans Saints,L 13-20,L -8,,Atlanta Falcons,U 42,
Sun,Oct 21 2001,1:00,,Tennessee Titans,W 27-24,L -5.5,@,Detroit Lions,O 38.5,
Sun,Oct 21 2001,1:00,@,Indianapolis Colts,L 17-38,L -10.5,,New England Patriots,O 48,
Sun,Oct 21 2001,1:01,@,Tampa Bay Buccaneers,L 10-17,L -5,,Pittsburgh Steelers,U 33.5,
Sun,Oct 21 2001,1:01,,Carolina Panthers,L 14-17 (OT),L -3.5,@,Washington Redskins,U 36,
Sun,Oct 21 2001,1:02,@,Cincinnati Bengals,L 0-24,L -1,,Chicago Bears,U 36,
Sun,Oct 21 2001,1:02,,Baltimore Ravens,L 14-24,L -7.5,@,Cleveland Browns,O 33,
Sun,Oct 21 2001,1:02,,St Louis Rams,W 34-14,W -7,@,New York Jets,O 46.5,
Sun,Oct 21 2001,1:05,,Denver Broncos,L 10-27,L -2.5,@,San Diego Chargers,U 43.5,
Sun,Oct 21 2001,3:15,,Green Bay Packers,L 13-35,L -3,@,Minnesota Vikings,O 47.5,
Sun,Oct 21 2001,4:05,,Kansas City Chiefs,L 16-24,L -2,@,Arizona Cardinals,U 41,
Mon,Oct 22 2001,9:09,@,New York Giants,L 9-10,L -3,,Philadelphia Eagles,U 35.5,
