Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sun,Nov 18 2001,1:01,@,Baltimore Ravens,L 17-27,L -8,,Cleveland Browns,O 33,
Sun,Nov 18 2001,1:02,,Seattle Seahawks,W 23-20,L -3.5,@,Buffalo Bills,O 39,
Sun,Nov 18 2001,1:02,,San Francisco 49ers,W 25-22 (OT),L -7,@,Carolina Panthers,O 43,
Sun,Nov 18 2001,1:02,@,Cincinnati Bengals,L 7-20,L -1.5,,Tennessee Titans,U 39.5,
Sun,Nov 18 2001,1:02,@,Green Bay Packers,L 20-23,L -10,,Atlanta Falcons,O 39.5,
Sun,Nov 18 2001,1:02,@,Miami Dolphins,L 0-24,L -5.5,,New York Jets,U 37.5,
Sun,Nov 18 2001,1:02,@,New Orleans Saints,W 34-20,W -5.5,,Indianapolis Colts,O 47.5,
Sun,Nov 18 2001,1:03,,Philadelphia Eagles,W 36-3,W -7,@,Dallas Cowboys,O 37,
Sun,Nov 18 2001,4:05,@,Oakland Raiders,W 34-24,W -9,,San Diego Chargers,O 45,
Sun,Nov 18 2001,4:05,@,Pittsburgh Steelers,W 20-7,W -5.5,,Jacksonville Jaguars,U 36,
Sun,Nov 18 2001,4:15,@,Arizona Cardinals,W 45-38,W -2,,Detroit Lions,O 39.5,
Sun,Nov 18 2001,4:15,@,Denver Broncos,L 10-17,L -8.5,,Washington Redskins,U 43,
Sun,Nov 18 2001,4:15,@,Tampa Bay Buccaneers,L 24-27,L -5,,Chicago Bears,O 35,
Sun,Nov 18 2001,8:35,,St Louis Rams,W 24-17,L -8.5,@,New England Patriots,U 46.5,
Mon,Nov 19 2001,9:10,@,Minnesota Vikings,W 28-16,W -2,,New York Giants,P 44,
