Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Sun,"Sep 9, 2001",12:01,,Oakland Raiders,W 27-24,P -3,@,Kansas City Chiefs,O 43,
Sun,"Sep 9, 2001",12:02,@,Green Bay Packers,W 28-6,W -5.5,,Detroit Lions,U 41.5,
Sun,"Sep 9, 2001",12:03,,Tampa Bay Buccaneers,W 10-6,L -9,@,Dallas Cowboys,U 34,
Sun,"Sep 9, 2001",1:00,@,Minnesota Vikings,L 13-24,L -10,,Carolina Panthers,U 45,
Sun,"Sep 9, 2001",1:02,@,Baltimore Ravens,W 17-6,W -10.5,,Chicago Bears,U 33.5,
Sun,"Sep 9, 2001",1:02,,Seattle Seahawks,W 9-6,L -4,@,Cleveland Browns,U 38.5,
Sun,"Sep 9, 2001",1:03,@,Cincinnati Bengals,W 23-17,W PK,,New England Patriots,O 36,
Sun,"Sep 9, 2001",1:03,,Indianapolis Colts,W 45-24,W -1.5,@,New York Jets,O 44.5,
Sun,"Sep 9, 2001",1:05,,New Orleans Saints,W 24-6,W -1.5,@,Buffalo Bills,U 37.5,
Sun,"Sep 9, 2001",1:05,@,Jacksonville Jaguars,W 21-3,W -3,,Pittsburgh Steelers,U 37.5,
Sun,"Sep 9, 2001",1:15,@,San Francisco 49ers,W 16-13 (OT),L -3.5,,Atlanta Falcons,U 46,
Sun,"Sep 9, 2001",4:15,@,San Diego Chargers,W 30-3,W -2.5,,Washington Redskins,U 36.5,
Sun,"Sep 9, 2001",4:16,,St Louis Rams,W 20-17 (OT),P -3,@,Philadelphia Eagles,U 46,
Sun,"Sep 9, 2001",8:36,@,Tennessee Titans,L 23-31,L -6.5,,Miami Dolphins,O 34,
Mon,"Sep 10, 2001",7:07,@,Denver Broncos,W 31-20,W -7,,New York Giants,O 43.5,
