Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sun,Sep 23 2001,12:00,@,Kansas City Chiefs,L 3-13,L -1.5,,New York Giants,U 39,
Sun,Sep 23 2001,12:12,,Minnesota Vikings,L 10-17,L -3,@,Chicago Bears,U 43.5,
Sun,Sep 23 2001,1:00,@,Indianapolis Colts,W 42-26,W -10,,Buffalo Bills,O 44.5,
Sun,Sep 23 2001,1:10,@,Jacksonville Jaguars,W 13-6,W -2,,Tennessee Titans,U 36,
Sun,Sep 23 2001,1:10,@,Miami Dolphins,W 18-15,W -1.5,,Oakland Raiders,U 40,
Sun,Sep 23 2001,1:11,,Baltimore Ravens,L 10-21,L -7,@,Cincinnati Bengals,U 33.5,
Sun,Sep 23 2001,1:12,@,Atlanta Falcons,W 24-16,W -3.5,,Carolina Panthers,U 41,
Sun,Sep 23 2001,1:12,,San Diego Chargers,W 32-21,W -3.5,@,Dallas Cowboys,O 34,
Sun,Sep 23 2001,1:13,,Detroit Lions,L 14-24,L -1.5,@,Cleveland Browns,O 33,
Sun,Sep 23 2001,4:15,,New York Jets,W 10-3,W -1.5,@,New England Patriots,U 38.5,
Sun,Sep 23 2001,4:27,,Philadelphia Eagles,W 27-3,W -2.5,@,Seattle Seahawks,U 37,
Sun,Sep 23 2001,4:29,,St Louis Rams,W 30-26,L -6,@,San Francisco 49ers,O 50,
Sun,Sep 23 2001,8:37,,Denver Broncos,W 38-17,W -8.5,@,Arizona Cardinals,O 45,
Mon,Sep 24 2001,9:08,@,Green Bay Packers,W 37-0,W -8.5,,Washington Redskins,U 41,
