Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Thu,"Nov 28, 2024",12:30,@,Detroit Lions,W 23-20,L -9.5,,Chicago Bears,U 48,
Thu,"Nov 28, 2024",4:30,@,Dallas Cowboys,W 27-20,W -4,,New York Giants,O 39,
Thu,"Nov 28, 2024",8:20,@,Green Bay Packers,W 30-17,W -3.5,,Miami Dolphins,U 47.5,
Fri,"Nov 29, 2024",3:00,@,Kansas City Chiefs,W 19-17,L -13.5,,Las Vegas Raiders,U 42.5,
Sun,"Dec 1, 2024",1:00,,Los Angeles Chargers,W 17-13,W -1,@,Atlanta Falcons,U 47,
Sun,"Dec 1, 2024",1:00,@,Cincinnati Bengals,L 38-44,L -3,,Pittsburgh Steelers,O 46,
Sun,"Dec 1, 2024",1:00,,Houston Texans,W 23-20,L -3.5,@,Jacksonville Jaguars,U 44.5,
Sun,"Dec 1, 2024",1:00,@,Minnesota Vikings,W 23-22,L -3.5,,Arizona Cardinals,U 45.5,
Sun,"Dec 1, 2024",1:00,,Indianapolis Colts,W 25-24,L -2.5,@,New England Patriots,O 41.5,
Sun,"Dec 1, 2024",1:00,@,New York Jets,L 21-26,L -1.5,,Seattle Seahawks,O 41.5,
Sun,"Dec 1, 2024",1:00,@,Washington Commanders,W 42-19,W -6,,Tennessee Titans,O 45.5,
Sun,"Dec 1, 2024",4:05,,Tampa Bay Buccaneers,W 26-23 (OT),L -6.5,@,Carolina Panthers,O 46,
Sun,"Dec 1, 2024",4:05,,Los Angeles Rams,W 21-14,W -2.5,@,New Orleans Saints,U 49,
Sun,"Dec 1, 2024",4:25,@,Baltimore Ravens,L 19-24,L -3,,Philadelphia Eagles,U 50,
Sun,"Dec 1, 2024",8:20,@,Buffalo Bills,W 35-10,W -6.5,,San Francisco 49ers,U 45.5,
Mon,"Dec 2, 2024",8:15,@,Denver Broncos,W 41-32,W -6.5,,Cleveland Browns,O 41.5,
