Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Thu,"Oct 3, 2024",8:20,@,Atlanta Falcons,W 36-30 (OT),W -2.5,,Tampa Bay Buccaneers,O 44,
Sun,"Oct 6, 2024",9:30,N,Minnesota Vikings,W 23-17,W -2.5,,New York Jets,U 42,at London
Sun,"Oct 6, 2024",1:00,@,Chicago Bears,W 36-10,W -4,,Carolina Panthers,O 40,
Sun,"Oct 6, 2024",1:00,,Baltimore Ravens,W 41-38,W -2.5,@,Cincinnati Bengals,O 48.5,
Sun,"Oct 6, 2024",1:00,@,Houston Texans,W 23-20,W -1.5,,Buffalo Bills,U 48,
Sun,"Oct 6, 2024",1:00,@,Jacksonville Jaguars,W 37-34,L -3.5,,Indianapolis Colts,O 44.5,
Sun,"Oct 6, 2024",1:00,,Miami Dolphins,W 15-10,W -2,@,New England Patriots,U 37,
Sun,"Oct 6, 2024",1:00,@,Washington Commanders,W 34-13,W -3,,Cleveland Browns,O 43.5,
Sun,"Oct 6, 2024",4:05,@,Denver Broncos,W 34-18,W -3,,Las Vegas Raiders,O 36,
Sun,"Oct 6, 2024",4:05,@,San Francisco 49ers,L 23-24,L -7.5,,Arizona Cardinals,U 49,
Sun,"Oct 6, 2024",4:25,,Green Bay Packers,W 24-19,W -3,@,Los Angeles Rams,U 49.5,
Sun,"Oct 6, 2024",4:25,@,Seattle Seahawks,L 20-29,L -7,,New York Giants,O 42.5,
Sun,"Oct 6, 2024",9:45,@,Pittsburgh Steelers,L 17-20,L -2.5,,Dallas Cowboys,U 44,
Mon,"Oct 7, 2024",8:20,@,Kansas City Chiefs,W 26-13,W -5,,New Orleans Saints,U 43,
