Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,Sep 22 2022,8:15,@,Cleveland Browns,W 29-17,W -4.5,,Pittsburgh Steelers,O 38.5,
Sun,Sep 25 2022,1:00,,New Orleans Saints,L 14-22,L -2.5,@,Carolina Panthers,U 41,
Sun,Sep 25 2022,1:00,@,Chicago Bears,W 23-20,P -3,,Houston Texans,O 39,
Sun,Sep 25 2022,1:00,,Kansas City Chiefs,L 17-20,L -5.5,@,Indianapolis Colts,U 51,
Sun,Sep 25 2022,1:00,,Buffalo Bills,L 19-21,L -4.5,@,Miami Dolphins,U 53,
Sun,Sep 25 2022,1:00,@,Minnesota Vikings,W 28-24,L -6,,Detroit Lions,U 52.5,
Sun,Sep 25 2022,1:00,,Baltimore Ravens,W 37-26,W -2.5,@,New England Patriots,O 44,
Sun,Sep 25 2022,1:00,,Cincinnati Bengals,W 27-12,W -6,@,New York Jets,U 45,
Sun,Sep 25 2022,1:00,,Las Vegas Raiders,L 22-24,L -2,@,Tennessee Titans,O 45.5,
Sun,Sep 25 2022,1:00,,Philadelphia Eagles,W 24-8,W -6,@,Washington Commanders,U 47.5,
Sun,Sep 25 2022,4:05,@,Los Angeles Chargers,L 10-38,L -3,,Jacksonville Jaguars,O 42.5,
Sun,Sep 25 2022,4:25,,Los Angeles Rams,W 20-12,W -3.5,@,Arizona Cardinals,U 48.5,
Sun,Sep 25 2022,4:25,@,Seattle Seahawks,L 23-27,L -1,,Atlanta Falcons,O 42,
Sun,Sep 25 2022,4:25,@,Tampa Bay Buccaneers,L 12-14,L -1,,Green Bay Packers,U 42,
Sun,Sep 25 2022,8:20,,San Francisco 49ers,L 10-11,L -1.5,@,Denver Broncos,U 44.5,
Mon,Sep 26 2022,8:15,@,New York Giants,L 16-23,L -1,,Dallas Cowboys,P 39,
