Thu,"Nov 17, 2022",8:15,@,Green Bay Packers,L 17-27,L -3,,Tennessee Titans,O 41,
Sun,"Nov 20, 2022",1:00,@,Atlanta Falcons,W 27-24,W -2.5,,Chicago Bears,O 49,
Sun,"Nov 20, 2022",1:00,@,Baltimore Ravens,W 13-3,L -13,,Carolina Panthers,U 41.5,
Sun,"Nov 20, 2022",1:00,N,Buffalo Bills,W 31-23,W -7.5,,Cleveland Browns,O 50,at Detroit
Sun,"Nov 20, 2022",1:00,,Washington Commanders,W 23-10,W -3,@,Houston Texans,U 41,
Sun,"Nov 20, 2022",1:00,,Philadelphia Eagles,W 17-16,L -6.5,@,Indianapolis Colts,U 45.5,
Sun,"Nov 20, 2022",1:00,@,New England Patriots,W 10-3,W -3.5,,New York Jets,U 38,
Sun,"Nov 20, 2022",1:00,@,New Orleans Saints,W 27-20,W -2.5,,Los Angeles Rams,O 39,
Sun,"Nov 20, 2022",1:00,@,New York Giants,L 18-31,L -3,,Detroit Lions,O 44.5,
Sun,"Nov 20, 2022",4:05,@,Denver Broncos,L 16-22 (OT),L -2.5,,Las Vegas Raiders,U 41,
Sun,"Nov 20, 2022",4:25,,Dallas Cowboys,W 40-3,W -1.5,@,Minnesota Vikings,U 48.5,
Sun,"Nov 20, 2022",4:25,,Cincinnati Bengals,W 37-30,W -3.5,@,Pittsburgh Steelers,O 40,
Sun,"Nov 20, 2022",8:20,,Kansas City Chiefs,W 30-27,L -5,@,Los Angeles Chargers,O 52.5,
Mon,"Nov 21, 2022",8:15,N,San Francisco 49ers,W 38-10,W -8,,Arizona Cardinals,O 43,at Mexico City
