Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,Dec 8 2022,8:15,,Las Vegas Raiders,L 16-17,L -6,@,Los Angeles Rams,U 44.5,
Sun,Dec 11 2022,1:00,@,Buffalo Bills,W 20-12,L -10,,New York Jets,U 43,
Sun,Dec 11 2022,1:00,@,Cincinnati Bengals,W 23-10,W -5.5,,Cleveland Browns,U 46.5,
Sun,Dec 11 2022,1:00,@,Dallas Cowboys,W 27-23,L -17,,Houston Texans,O 44,
Sun,Dec 11 2022,1:00,@,Detroit Lions,W 34-23,W -2,,Minnesota Vikings,O 51.5,
Sun,Dec 11 2022,1:00,,Philadelphia Eagles,W 48-22,W -7,@,New York Giants,O 45,
Sun,Dec 11 2022,1:00,@,Pittsburgh Steelers,L 14-16,L -1.5,,Baltimore Ravens,U 36.5,
Sun,Dec 11 2022,1:00,@,Tennessee Titans,L 22-36,L -3.5,,Jacksonville Jaguars,O 41,
Sun,Dec 11 2022,4:05,,Kansas City Chiefs,W 34-28,L -8.5,@,Denver Broncos,O 44,
Sun,Dec 11 2022,4:25,@,San Francisco 49ers,W 35-7,W -3.5,,Tampa Bay Buccaneers,O 37.5,
Sun,Dec 11 2022,4:25,@,Seattle Seahawks,L 24-30,L -4,,Carolina Panthers,O 44.5,
Sun,Dec 11 2022,8:20,,Miami Dolphins,L 17-23,L -3,@,Los Angeles Chargers,U 53.5,
Mon,Dec 12 2022,8:15,,New England Patriots,W 27-13,W -1.5,@,Arizona Cardinals,U 43.5,
