Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Sun,"Dec 3, 1967",,@,Baltimore Colts,W 23-17,L -8,,Dallas Cowboys,,
Sun,"Dec 3, 1967",,@,Cleveland Browns,W 24-14,W -7,,New York Giants,,
Sun,"Dec 3, 1967",,@,Detroit Lions,L 14-24,L -7,,Pittsburgh Steelers,,
Sun,"Dec 3, 1967",,@,Los Angeles Rams,W 20-3,L -24,,Atlanta Falcons,,
Sun,"Dec 3, 1967",,,Green Bay Packers,W 30-27,L -7,@,Minnesota Vikings,,
Sun,"Dec 3, 1967",,,Chicago Bears,W 28-14,W -6.5,@,San Francisco 49ers,,
Sun,"Dec 3, 1967",,@,St Louis Cardinals,W 31-20,L -14,,New Orleans Saints,,
Sun,"Dec 3, 1967",,@,Washington Redskins,T 35-35,L -6.5,,Philadelphia Eagles,,
