Round,Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sun,"Nov 5, 1967",,@,Boston Patriots,W 18-7,W -2.5,,Houston Oilers,,
Sun,"Nov 5, 1967",,@,Buffalo Bills,W 35-13,W -13.5,,Miami Dolphins,,
Sun,"Nov 5, 1967",,,Oakland Raiders,W 21-17,L -16,@,Denver Broncos,,
Sun,"Nov 5, 1967",,@,Kansas City Chiefs,W 42-18,W -8,,New York Jets,,
