Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Sat,"Dec 16, 1967",,@,Houston Oilers,W 24-17,W -6.5,,San Diego Chargers,,
Sun,"Dec 17, 1967",,,Kansas City Chiefs,W 38-24,W -10,@,Denver Broncos,,
Sun,"Dec 17, 1967",,@,Miami Dolphins,W 41-32,W -6,,Boston Patriots,,
Sun,"Dec 17, 1967",,@,Oakland Raiders,W 38-29,W -7.5,,New York Jets,,
