Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Sat,"Dec 23, 1967",,,Houston Oilers,W 41-10,W -7.5,@,Miami Dolphins,,
Sun,"Dec 24, 1967",,@,Oakland Raiders,W 28-21,P -7,,Buffalo Bills,,
Sun,"Dec 24, 1967",,@,San Diego Chargers,L 31-42,N/A,,New York Jets,,
