Sun,"Nov 20, 1994",1:00,@,Buffalo Bills,W 29-20,W -3,,Green Bay Packers,O 36,
Sun,"Nov 20, 1994",1:00,@,Chicago Bears,W 20-10,W -3,,Detroit Lions,U 34.5,
Sun,"Nov 20, 1994",1:00,,Indianapolis Colts,W 17-13,W -1,@,Cincinnati Bengals,U 39.5,
Sun,"Nov 20, 1994",1:00,@,Dallas Cowboys,W 31-7,W -15.5,,Washington Redskins,U 43.5,
Sun,"Nov 20, 1994",1:00,@,Kansas City Chiefs,W 20-13,W -4,,Cleveland Browns,U 34.5,
Sun,"Nov 20, 1994",1:00,,San Diego Chargers,L 17-23,L -2.5,@,New England Patriots,O 37.5,
Sun,"Nov 20, 1994",1:00,@,Pittsburgh Steelers,W 16-13 (OT),W -2.5,,Miami Dolphins,U 36.5,
Sun,"Nov 20, 1994",4:00,,Philadelphia Eagles,L 6-12,L -3.5,@,Arizona Cardinals,U 33,
Sun,"Nov 20, 1994",4:00,@,Denver Broncos,W 32-28,L -6,,Atlanta Falcons,O 44,
Sun,"Nov 20, 1994",4:00,@,Los Angeles Raiders,W 24-19,L -6.5,,New Orleans Saints,O 39,
Sun,"Nov 20, 1994",4:00,@,Minnesota Vikings,L 21-31,L -7,,New York Jets,O 37.5,
Sun,"Nov 20, 1994",4:00,@,Seattle Seahawks,W 22-21,L -7,,Tampa Bay Buccaneers,O 36,
Sun,"Nov 20, 1994",8:00,@,San Francisco 49ers,W 31-27,L -14,,Los Angeles Rams,O 43,
Mon,"Nov 21, 1994",9:00,@,Houston Oilers,L 10-13,L -3,,New York Giants,U 35,
