Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Sun,"Nov 13, 1994",1:00,@,Cincinnati Bengals,W 34-31,W -1,,Houston Oilers,O 34,
Sun,"Nov 13, 1994",1:00,@,Kansas City Chiefs,L 13-14,L -3,,San Diego Chargers,U 37.5,
Sun,"Nov 13, 1994",1:00,@,Miami Dolphins,L 14-17,L -7,,Chicago Bears,U 38,
Sun,"Nov 13, 1994",1:00,,Minnesota Vikings,L 20-26 (OT),L -2.5,@,New England Patriots,O 37,
Sun,"Nov 13, 1994",1:00,@,New Orleans Saints,W 33-32,L -2.5,,Atlanta Falcons,O 43.5,
Sun,"Nov 13, 1994",1:00,@,New York Giants,L 9-10,L -1,,Arizona Cardinals,U 34.5,
Sun,"Nov 13, 1994",1:00,@,Philadelphia Eagles,L 7-26,L -6.5,,Cleveland Browns,U 35,
Sun,"Nov 13, 1994",4:00,@,Denver Broncos,W 17-10,P -7,,Seattle Seahawks,U 41,
Sun,"Nov 13, 1994",4:00,@,Green Bay Packers,W 17-10,P -7,,New York Jets,U 36,
Sun,"Nov 13, 1994",4:00,,Los Angeles Raiders,W 20-17,P -3,@,Los Angeles Rams,U 37.5,
Sun,"Nov 13, 1994",4:00,@,San Francisco 49ers,W 21-14,W -3,,Dallas Cowboys,U 44,
Sun,"Nov 13, 1994",8:00,@,Detroit Lions,W 14-9,L -10,,Tampa Bay Buccaneers,U 37,
Mon,"Nov 14, 1994",9:00,@,Pittsburgh Steelers,W 23-10,W -1.5,,Buffalo Bills,U 37,
