Round,Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
NFC Wild Card,Sat,"Dec 31, 1994",12:30,@,Green Bay Packers (4),W 16-12,L -4.5,,Detroit Lions (5),U 40
AFC Wild Card,Sat,"Dec 31, 1994",4:00,@,Miami Dolphins (3),W 27-17,W -3,,Kansas City Chiefs (6),O 43.5
AFC Wild Card,Sun,"Jan 1, 1995",12:30,@,Cleveland Browns (4),W 20-13,W -3,,New England Patriots (5),U 35.5
NFC Wild Card,Sun,"Jan 1, 1995",4:00,@,Minnesota Vikings (3),L 18-35,L -6,,Chicago Bears (6),O 38
AFC Divisional,Sat,"Jan 7, 1995",12:30,@,Pittsburgh Steelers (1),W 29-9,W -3.5,,Cleveland Browns (4),O 32.5
NFC Divisional,Sat,"Jan 7, 1995",4:00,@,San Francisco 49ers (1),W 44-15,W -17.5,,Chicago Bears (6),O 46.5
NFC Divisional,Sun,"Jan 8, 1995",12:30,@,Dallas Cowboys (2),W 35-9,W -10,,Green Bay Packers (4),O 43
AFC Divisional,Sun,"Jan 8, 1995",4:00,@,San Diego Chargers (2),W 22-21,L -3,,Miami Dolphins (3),U 46
AFC Championship,Sun,"Jan 15, 1995",12:30,@,Pittsburgh Steelers (1),L 13-17,L -9,,San Diego Chargers (2),U 35
NFC Championship,Sun,"Jan 15, 1995",4:00,@,San Francisco 49ers (1),W 38-28,W -7.5,,Dallas Cowboys (2),O 48
Super Bowl XXIX,Sun,"Jan 29, 1995",6:00,N,San Francisco 49ers (1),W 49-26,W -18,,San Diego Chargers (2),O 54
