Round,Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
AFC Wild Card,Sat,"Jan 5, 2019",4:35,@,Houston Texans (3),L 7-21,L -2,,Indianapolis Colts (6),U 48.5
NFC Wild Card,Sat,"Jan 5, 2019",8:15,@,Dallas Cowboys (4),W 24-22,L -2.5,,Seattle Seahawks (5),O 43
AFC Wild Card,Sun,"Jan 6, 2019",1:05,@,Baltimore Ravens (4),L 17-23,L -3,,Los Angeles Chargers (5),U 43
NFC Wild Card,Sun,"Jan 6, 2019",4:40,@,Chicago Bears (3),L 15-16,L -6.5,,Philadelphia Eagles (6),U 41.5
AFC Divisional,Sat,"Jan 12, 2019",4:35,@,Kansas City Chiefs (1),W 31-13,W -4,,Indianapolis Colts (6),U 54
NFC Divisional,Sat,"Jan 12, 2019",8:15,@,Los Angeles Rams (2),W 30-22,W -7.5,,Dallas Cowboys (4),O 48
AFC Divisional,Sun,"Jan 13, 2019",1:05,@,New England Patriots (2),W 41-28,W -3.5,,Los Angeles Chargers (5),O 47.5
NFC Divisional,Sun,"Jan 13, 2019",4:40,@,New Orleans Saints (1),W 20-14,L -8.5,,Philadelphia Eagles (6),U 52
NFC Championship,Sun,"Jan 20, 2019",3:05,@,New Orleans Saints (1),L 23-26 (OT),L -3,,Los Angeles Rams (2),U 55.5
AFC Championship,Sun,"Jan 20, 2019",6:40,@,Kansas City Chiefs (1),L 31-37 (OT),L -3,,New England Patriots (2),O 56
Super Bowl LIII,Sun,"Feb 3, 2019",6:30,N,New England Patriots (2),W 13-3,W -2,,Los Angeles Rams (2),U 55.5
