Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,Dec 6 2018,8:20,@,Tennessee Titans,W 30-9,W -5.5,,Jacksonville Jaguars,O 37.5,
Sun,Dec 9 2018,1:00,@,Buffalo Bills,L 23-27,L -4.5,,New York Jets,O 37,
Sun,Dec 9 2018,1:00,,Carolina Panthers,L 20-26,L -1,@,Cleveland Browns,U 47.5,
Sun,Dec 9 2018,1:00,@,Green Bay Packers,W 34-20,W -4,,Atlanta Falcons,O 50.5,
Sun,Dec 9 2018,1:00,@,Houston Texans,L 21-24,L -4,,Indianapolis Colts,U 49,
Sun,Dec 9 2018,1:00,@,Kansas City Chiefs,W 27-24 (OT),L -6.5,,Baltimore Ravens,O 48.5,
Sun,Dec 9 2018,1:00,,New England Patriots,L 33-34,L -9.5,@,Miami Dolphins,O 49.5,
Sun,Dec 9 2018,1:00,,New Orleans Saints,W 28-14,W -10,@,Tampa Bay Buccaneers,U 54,
Sun,Dec 9 2018,1:00,,New York Giants,W 40-16,W -3,@,Washington Redskins,O 40.5,
Sun,Dec 9 2018,4:05,@,Los Angeles Chargers,W 26-21,L -17,,Cincinnati Bengals,U 48.5,
Sun,Dec 9 2018,4:05,,Denver Broncos,L 14-20,L -3,@,San Francisco 49ers,U 45.5,
Sun,Dec 9 2018,4:25,,Detroit Lions,W 17-3,W -2.5,@,Arizona Cardinals,U 40.5,
Sun,Dec 9 2018,4:25,@,Dallas Cowboys,W 29-23 (OT),W -3.5,,Philadelphia Eagles,O 45.5,
Sun,Dec 9 2018,4:25,,Pittsburgh Steelers,L 21-24,L -10.5,@,Oakland Raiders,U 51,
Sun,Dec 9 2018,8:20,,Los Angeles Rams,L 6-15,L -3,@,Chicago Bears,U 51,
Mon,Dec 10 2018,8:15,@,Seattle Seahawks,W 21-7,W -3,,Minnesota Vikings,U 45.5,
