Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Sun,"Nov 11, 1979",1:00,,San Diego Chargers,W 26-24,L -4,@,Cincinnati Bengals,O 43,
Sun,"Nov 11, 1979",1:00,@,Cleveland Browns,L 24-29,L -6,,Seattle Seahawks,O 43,
Sun,"Nov 11, 1979",1:00,,Tampa Bay Buccaneers,W 16-14,L -5,@,Detroit Lions,U 35,
Sun,"Nov 11, 1979",1:00,@,Houston Oilers,W 31-17,W -1,,Oakland Raiders,O 40,
Sun,"Nov 11, 1979",1:00,,Pittsburgh Steelers,W 30-3,W -10,@,Kansas City Chiefs,U 38,
Sun,"Nov 11, 1979",1:00,@,Miami Dolphins,W 19-0,W -6,,Baltimore Colts,U 38,
Sun,"Nov 11, 1979",1:00,@,New York Jets,L 12-14,L -6,,Buffalo Bills,U 42,
Sun,"Nov 11, 1979",1:00,@,Washington Redskins,W 30-28,L -3,,St Louis Cardinals,O 39,
Sun,"Nov 11, 1979",2:00,@,Chicago Bears,W 27-23,W PK,,Los Angeles Rams,O 34,
Sun,"Nov 11, 1979",2:00,@,Green Bay Packers,W 19-7,W -2,,Minnesota Vikings,U 37,at Milwaukee
Sun,"Nov 11, 1979",2:00,@,New Orleans Saints,W 31-20,W -7,,San Francisco 49ers,O 42,
Sun,"Nov 11, 1979",4:00,,New England Patriots,L 10-45,L -1,@,Denver Broncos,O 34,
Sun,"Nov 11, 1979",4:00,@,New York Giants,W 24-3,W -2,,Atlanta Falcons,U 36,
Mon,"Nov 12, 1979",9:00,@,Dallas Cowboys,L 21-31,L -10,,Philadelphia Eagles,O 38,
