Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Sun,"Oct 14, 1979",1:00,,Pittsburgh Steelers,L 10-34,L -10,@,Cincinnati Bengals,O 39,
Sun,"Oct 14, 1979",1:00,@,Cleveland Browns,L 9-13,L -4,,Washington Redskins,U 34,
Sun,"Oct 14, 1979",1:00,@,Miami Dolphins,W 17-7,W -6,,Buffalo Bills,U 40,
Sun,"Oct 14, 1979",1:00,@,New York Giants,W 32-16,W -4,,San Francisco 49ers,O 38,
Sun,"Oct 14, 1979",1:00,@,St Louis Cardinals,L 20-24,L -3,,Philadelphia Eagles,O 38,
Sun,"Oct 14, 1979",1:00,@,Tampa Bay Buccaneers,L 14-42,L -8,,New Orleans Saints,O 38,
Sun,"Oct 14, 1979",2:00,,Houston Oilers,W 28-16,W -6,@,Baltimore Colts,O 36,
Sun,"Oct 14, 1979",2:00,,New England Patriots,W 27-7,W -4,@,Chicago Bears,U 37,
Sun,"Oct 14, 1979",4:00,@,Green Bay Packers,W 24-16,W -4,,Detroit Lions,O 36,at Milwaukee
Sun,"Oct 14, 1979",4:00,,Denver Broncos,W 24-10,W -1,@,Kansas City Chiefs,P 34,
Sun,"Oct 14, 1979",4:00,@,Oakland Raiders,W 50-19,W -10,,Atlanta Falcons,O 37,
Sun,"Oct 14, 1979",4:00,@,San Diego Chargers,W 20-10,P -10,,Seattle Seahawks,U 44,
Sun,"Oct 14, 1979",9:00,@,Dallas Cowboys,W 30-6,W -3,,Los Angeles Rams,U 39,
Mon,"Oct 15, 1979",9:00,@,New York Jets,W 14-7,W -4,,Minnesota Vikings,U 42,
