Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sat,Sep 1 1979,8:00,@,Tampa Bay Buccaneers,W 31-16,W -3,,Detroit Lions,O 30,
Sun,Sep 2 1979,1:00,,Miami Dolphins,W 9-7,L -5,@,Buffalo Bills,U 39,
Sun,Sep 2 1979,1:00,@,Minnesota Vikings,W 28-22,L -7,,San Francisco 49ers,O 32,
Sun,Sep 2 1979,1:00,@,Philadelphia Eagles,W 23-17,L -7,,New York Giants,O 31.5,
Sun,Sep 2 1979,1:00,,Houston Oilers,W 29-27,L -4,@,Washington Redskins,O 33,
Sun,Sep 2 1979,2:00,@,Chicago Bears,W 6-3,P -3,,Green Bay Packers,U 31,
Sun,Sep 2 1979,2:00,@,New Orleans Saints,L 34-40 (OT),L -5,,Atlanta Falcons,O 32,
Sun,Sep 2 1979,2:00,,Dallas Cowboys,W 22-21,L -4,@,St Louis Cardinals,O 37,
Sun,Sep 2 1979,4:00,@,Denver Broncos,W 10-0,W -3,,Cincinnati Bengals,U 31.5,
Sun,Sep 2 1979,4:00,@,Kansas City Chiefs,W 14-0,W -1,,Baltimore Colts,U 37,
Sun,Sep 2 1979,4:00,@,Los Angeles Rams,L 17-24,L -4,,Oakland Raiders,O 36.5,
Sun,Sep 2 1979,4:00,@,New York Jets,L 22-25 (OT),L -2,,Cleveland Browns,O 41,
Sun,Sep 2 1979,4:00,@,Seattle Seahawks,L 16-33,L -2,,San Diego Chargers,O 42.5,
Mon,Sep 3 1979,9:00,,Pittsburgh Steelers,W 16-13 (OT),W -2,@,New England Patriots,U 37,
