Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sun,Nov 12 2000,1:00,@,Dallas Cowboys,W 23-6,W -8.5,,Cincinnati Bengals,U 39,
Sun,Nov 12 2000,1:00,@,Minnesota Vikings,W 31-14,W -12.5,,Arizona Cardinals,U 46,
Sun,Nov 12 2000,1:01,@,Detroit Lions,W 13-10,L -8.5,,Atlanta Falcons,U 40,
Sun,Nov 12 2000,1:01,@,Pittsburgh Steelers,L 23-26 (OT),L -3.5,,Philadelphia Eagles,O 33,
Sun,Nov 12 2000,1:02,@,Buffalo Bills,W 20-3,W -7,,Chicago Bears,U 39.5,
Sun,Nov 12 2000,1:02,,New Orleans Saints,W 20-10,W -2,@,Carolina Panthers,U 37.5,
Sun,Nov 12 2000,1:02,@,Jacksonville Jaguars,L 21-28,L -7.5,,Seattle Seahawks,O 40.5,
Sun,Nov 12 2000,1:03,,New England Patriots,L 11-19,L -7,@,Cleveland Browns,U 32,
Sun,Nov 12 2000,1:03,@,Tennessee Titans,L 23-24,L -4,,Baltimore Ravens,O 33,
Sun,Nov 12 2000,4:00,,Kansas City Chiefs,L 7-21,L -3.5,@,San Francisco 49ers,U 52,
Sun,Nov 12 2000,4:05,,Miami Dolphins,W 17-7,W -5,@,San Diego Chargers,U 33.5,
Sun,Nov 12 2000,4:15,,St Louis Rams,W 38-24,W -2,@,New York Giants,O 48.5,
Sun,Nov 12 2000,4:15,@,Tampa Bay Buccaneers,W 20-15,L -9,,Green Bay Packers,U 42,
Sun,Nov 12 2000,8:35,@,Indianapolis Colts,W 23-15,W -6,,New York Jets,U 52.5,
Mon,Nov 13 2000,9:09,@,Denver Broncos,W 27-24,P -3,,Oakland Raiders,O 50,
