Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sun,Dec 10 2000,1:00,@,Kansas City Chiefs,W 15-14,L -2.5,,Carolina Panthers,U 42,
Sun,Dec 10 2000,1:02,@,Baltimore Ravens,W 24-3,W -13.5,,San Diego Chargers,U 36.5,
Sun,Dec 10 2000,1:02,@,Chicago Bears,W 24-17,W -2,,New England Patriots,O 36.5,
Sun,Dec 10 2000,1:02,@,Green Bay Packers,W 26-13,W -3.5,,Detroit Lions,U 41,
Sun,Dec 10 2000,1:02,@,Jacksonville Jaguars,W 44-10,W -15,,Arizona Cardinals,O 42,
Sun,Dec 10 2000,1:02,@,Miami Dolphins,L 13-16,L -2.5,,Tampa Bay Buccaneers,U 34.5,
Sun,Dec 10 2000,1:03,,Philadelphia Eagles,W 35-24,L -14,@,Cleveland Browns,O 35.5,
Sun,Dec 10 2000,1:03,@,New York Giants,W 30-10,W -3.5,,Pittsburgh Steelers,O 35.5,
Sun,Dec 10 2000,1:03,@,Tennessee Titans,W 35-3,W -13,,Cincinnati Bengals,O 36,
Sun,Dec 10 2000,4:05,@,Denver Broncos,W 31-24,L -10,,Seattle Seahawks,O 48,
Sun,Dec 10 2000,4:15,,Washington Redskins,L 13-32,L -6,@,Dallas Cowboys,O 39,
Sun,Dec 10 2000,4:15,@,San Francisco 49ers,L 27-31,L -3,,New Orleans Saints,O 47.5,
Sun,Dec 10 2000,4:15,@,St Louis Rams,W 40-29,W -3.5,,Minnesota Vikings,O 56.5,
Sun,Dec 10 2000,8:35,@,Oakland Raiders,W 31-7,W -3.5,,New York Jets,U 47,
Mon,Dec 11 2000,9:00,@,Indianapolis Colts,W 44-20,W -6,,Buffalo Bills,O 45,
