Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Thu,"Oct 19, 2000",8:35,@,Tampa Bay Buccaneers,L 14-28,L -8,,Detroit Lions,O 37.5,
Sun,"Oct 22, 2000",1:00,,Denver Broncos,L 21-31,L -10,@,Cincinnati Bengals,O 43,
Sun,"Oct 22, 2000",1:00,@,Dallas Cowboys,W 48-7,W -7,,Arizona Cardinals,O 41.5,
Sun,"Oct 22, 2000",1:00,@,Indianapolis Colts,W 30-23,L -8.5,,New England Patriots,O 47,
Sun,"Oct 22, 2000",1:00,,St Louis Rams,L 34-54,L -7,@,Kansas City Chiefs,O 56,
Sun,"Oct 22, 2000",1:02,@,Baltimore Ravens,L 6-14,L -1,,Tennessee Titans,U 35,
Sun,"Oct 22, 2000",1:02,@,Carolina Panthers,W 34-16,W -3,,San Francisco 49ers,P 50,
Sun,"Oct 22, 2000",1:02,@,Minnesota Vikings,W 31-27,L -6.5,,Buffalo Bills,O 44.5,
Sun,"Oct 22, 2000",1:03,@,Philadelphia Eagles,W 13-9,L -6.5,,Chicago Bears,U 41,
Sun,"Oct 22, 2000",1:05,,New Orleans Saints,W 21-19,W -1.5,@,Atlanta Falcons,P 40,
Sun,"Oct 22, 2000",4:05,@,Oakland Raiders,W 31-3,W -7.5,,Seattle Seahawks,U 44,
Sun,"Oct 22, 2000",4:05,@,Pittsburgh Steelers,W 22-0,W -9,,Cleveland Browns,U 37.5,
Sun,"Oct 22, 2000",4:15,,Washington Redskins,W 35-16,W -4,@,Jacksonville Jaguars,O 36,
Mon,"Oct 23, 2000",9:10,@,New York Jets,W 40-37 (OT),P -3,,Miami Dolphins,O 35,
