Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sun,"Oct 15, 2000",1:00,@,Kansas City Chiefs,L 17-20,L -3,,Oakland Raiders,U 43.5,
Sun,"Oct 15, 2000",1:01,@,Buffalo Bills,W 27-24 (OT),L -10,,San Diego Chargers,O 36.5,
Sun,"Oct 15, 2000",1:01,@,Pittsburgh Steelers,W 15-0,W -8.5,,Cincinnati Bengals,U 37,
Sun,"Oct 15, 2000",1:01,@,Washington Redskins,W 10-3,W -3.5,,Baltimore Ravens,U 34.5,
Sun,"Oct 15, 2000",1:02,@,St Louis Rams,W 45-29,L -18,,Atlanta Falcons,O 58.5,
Sun,"Oct 15, 2000",1:03,@,New York Giants,W 19-14,W -4,,Dallas Cowboys,U 40.5,
Sun,"Oct 15, 2000",1:04,@,New Orleans Saints,W 24-6,W PK,,Carolina Panthers,U 40.5,
Sun,"Oct 15, 2000",4:05,@,New England Patriots,L 17-34,L -3,,New York Jets,O 37,
Sun,"Oct 15, 2000",4:05,,Indianapolis Colts,W 37-24,W -5.5,@,Seattle Seahawks,O 44,
Sun,"Oct 15, 2000",4:06,@,Denver Broncos,W 44-10,W -12.5,,Cleveland Browns,O 44,
Sun,"Oct 15, 2000",4:15,,Philadelphia Eagles,W 33-14,W -2.5,@,Arizona Cardinals,O 39,
Sun,"Oct 15, 2000",4:15,@,Green Bay Packers,W 31-28,L -4.5,,San Francisco 49ers,O 49.5,
Sun,"Oct 15, 2000",8:35,,Minnesota Vikings,W 28-16,W -6,@,Chicago Bears,P 44,
Mon,"Oct 16, 2000",9:10,@,Tennessee Titans,W 27-13,W -6,,Jacksonville Jaguars,O 38,
